abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,subsection_name,query_consulta
A Web site redesign brings up the race card; the changing nature of a poker game.,https://www.nytimes.com/2009/11/29/magazine/29FOB-ethicist-t.html,A Web site redesign brings up the race card; the changing nature of a poker game.," I am a consultant on the redesign of the Web site of a company with local franchises across the United States. A franchisee in San Diego mentioned that posting a generic picture of an African-American customer could deter potential business. He has never had an African-American client nor does he anticipate one. His clientele is 70 percent white, 29 percent Hispanic and 1 percent Asian. Each local office will have a Web page and could have its own generic customer photo. May race be a factor in choosing it? TERRY KAVANAUGH, BIRMINGHAM, MICH.",MM,22,The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/06/09/magazine/14ethicist_190.jpg', 'height': 313, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/06/09/magazine/14ethicist_75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2009/06/09/magazine/14ethicist_75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Race', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Ethics', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}]",2009-11-24T22:32:48+0000,article,Magazine,Magazine,Question,nyt://article/4f01f830-05aa-5676-b159-b6a2b7dd93a6,576,nyt://article/4f01f830-05aa-5676-b159-b6a2b7dd93a6,Not Pictured: African-American Customers,The Ethicist,,Not Pictured: African-American Customers,,,,By Randy Cohen,"[{'firstname': 'Randy', 'middlename': None, 'lastname': 'Cohen', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,Alzheimer
"Dementia, often viewed as a disease of the mind, is also a progressive physical disease.",https://www.nytimes.com/2009/10/20/health/20well.html,"Dementia, often viewed as a disease of the mind, is also a progressive physical disease.","Dementia is often viewed as a disease of the mind, an illness that erases treasured memories but leaves the body intact.",D,5,The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/19/science/well_480.jpg', 'height': 314, 'width': 480, 'legacy': {'widewidth': 480, 'wideheight': 314, 'wide': 'images/2009/10/19/science/well_480.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/19/science/well.650.1.jpg', 'height': 450, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/19/science/well.190.1.jpg', 'height': 127, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/19/science/well_395.1.jpg', 'height': 262, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/19/science/well.7575.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2009/10/19/science/well.7575.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Mental Health and Disorders', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Hospice Care', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Death and Dying', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 9, 'major': 'N'}]",2009-10-19T21:34:34+0000,article,Science,Health,News,nyt://article/439ba6d2-38d6-5edd-921f-7f88b5388a03,827,nyt://article/439ba6d2-38d6-5edd-921f-7f88b5388a03,"Treating Dementia, but Overlooking Its Physical Toll",Well,,"Treating Dementia, but Overlooking Its Physical Toll",,,,By Tara Parker-Pope,"[{'firstname': 'Tara', 'middlename': None, 'lastname': 'Parker-Pope', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,Alzheimer
"Retirees have found that the National Football League’s disability plan, run jointly with the players union, is not structured to consider dementia to be an occupational risk.",https://www.nytimes.com/2009/10/01/sports/football/01dementia.html,"Retirees have found that the National Football League’s disability plan, run jointly with the players union, is not structured to consider dementia to be an occupational risk.","For the past decade, Brent Boyd, a former N.F.L. lineman who began experiencing memory loss and dementia-related symptoms in his 40s, has received relatively low payments from the National Football League’s disability plan because the plan-appointed doctor concluded that football “could not be organically responsible for all or even a major portion” of his condition.",B,11,The New York Times,[],"[{'name': 'subject', 'value': 'Pensions and Retirement Plans', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Concussions', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Football', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'National Football League', 'rank': 6, 'major': 'N'}]",2009-10-01T01:40:08+0000,article,Sports,Sports,News,nyt://article/f05a35bb-c054-5eef-8645-8c2b2070970e,1161,nyt://article/f05a35bb-c054-5eef-8645-8c2b2070970e,N.F.L. Dementia Debate Could Intensify,,,Dementia Debate Could Intensify,,,,By Alan Schwarz,"[{'firstname': 'Alan', 'middlename': None, 'lastname': 'Schwarz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Pro Football,Alzheimer
A new study is the league’s first public affirmation of any connection regarding cognitive decline among players.,https://www.nytimes.com/2009/09/30/sports/football/30dementia.html,A new study is the league’s first public affirmation of any connection regarding cognitive decline among players.,A study commissioned by the National Football League reports that Alzheimer’s disease or similar memory-related diseases appear to have been diagnosed in the league’s former players vastly more often than in the national population  including a rate of 19 times the normal rate for men ages 30 through 49.,A,1,The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/30/sports/football/dementia.190.jpg', 'height': 257, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/30/sports/football/dementia.75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2009/09/30/sports/football/dementia.75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Concussions', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Football', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'National Football League', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Sports Medicine', 'rank': 6, 'major': 'N'}]",2009-09-29T21:32:59+0000,article,Sports,Sports,News,nyt://article/e7f65b4b-f169-5559-81a3-17b58f0dbec8,1205,nyt://article/e7f65b4b-f169-5559-81a3-17b58f0dbec8,Dementia Risk Seen in Players in N.F.L. Study,,,Dementia Risk Seen in Players In N.F.L. Study,,,,By Alan Schwarz,"[{'firstname': 'Alan', 'middlename': None, 'lastname': 'Schwarz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Pro Football,Alzheimer
"Caring for an elderly parent is draining. When it gets especially tough, you may feel that you need the equivalent of a case worker.",https://www.nytimes.com/2009/09/26/health/26patient.html,"Caring for an elderly parent is draining. When it gets especially tough, you may feel that you need the equivalent of a case worker.","CARING for an elderly parent is emotionally and mentally draining. There are diagnoses to decipher, housing issues to consider, health aides to vet and a raft of legal documents to complete. It can seem overwhelming, even when families are in complete agreement on how to care for an elderly relative. And often they are not. ",B,6,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/25/health/26patient_600.jpg', 'height': 400, 'width': 600, 'legacy': {'xlarge': 'images/2009/09/25/health/26patient_600.jpg', 'xlargewidth': 600, 'xlargeheight': 400}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/25/health/26patient_600.jpg', 'height': 400, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/25/health/26patient_395.jpg', 'height': 263, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/25/health/26patient_75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2009/09/25/health/26patient_75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Families and Family Life', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Home Health Care', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 7, 'major': 'N'}]",2009-09-25T15:33:59+0000,article,Business,Health,News,nyt://article/3545e91b-7bda-5245-91fd-5e77baee63cb,1266,nyt://article/3545e91b-7bda-5245-91fd-5e77baee63cb,"When Elder Care Problems Escalate, You Can Hire an Expert",Patient Money,,"When Elder Care Problems Escalate, You Can Hire an Expert",,,,By Lesley Alderman,"[{'firstname': 'Lesley', 'middlename': None, 'lastname': 'Alderman', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,Alzheimer
The variants discovered by European scientists account for some 20 percent of the genetic risk of the disease.,https://www.nytimes.com/2009/09/07/health/07alzheimers.html,The variants discovered by European scientists account for some 20 percent of the genetic risk of the disease.,"Two teams of European scientists say they have discovered new genetic variants associated with Alzheimer’s disease. The variants account for about 20 percent of the genetic risk of the disease, and may lead to a better understanding of its biology, the scientists say.",A,4,The New York Times,[],"[{'name': 'subject', 'value': 'Genetics and Heredity', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}]",2009-09-06T17:36:41+0000,article,Foreign,Health,News,nyt://article/3669fd3d-9b58-5e76-8ac3-58b85ec5bede,353,nyt://article/3669fd3d-9b58-5e76-8ac3-58b85ec5bede,3 Genetic Variants Are Found to Be Linked to Alzheimer’s,,,3 Genetic Variants Are Found To Be Linked to Alzheimer’s,,,,By Nicholas Wade,"[{'firstname': 'Nicholas', 'middlename': None, 'lastname': 'Wade', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,Alzheimer
"Terrell Owens was kept busy filming a television show, playing pickup games with N.B.A. players and doing community service.",https://www.nytimes.com/2009/09/13/sports/football/13seconds.html,"Terrell Owens was kept busy filming a television show, playing pickup games with N.B.A. players and doing community service.","Wide receiver Terrell Owens will resume his career with the Buffalo Bills on Monday night at New England. Owens had an exhausting off-season. He was cut by Dallas, filmed a reality-television show, played pickup basketball with N.B.A. players in Los Angeles and became involved in community efforts in Buffalo. Last week on Twitter, he broke the news that Cleveland had selected Brady Quinn as its starting quarterback. JONATHAN ABRAMS",SP,8,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/13/sports/seconds500.jpg', 'height': 500, 'width': 365, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/13/sports/seconds190.jpg', 'height': 261, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/13/sports/seconds75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2009/09/13/sports/seconds75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'organizations', 'value': 'Buffalo Bills', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Football', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Owens, Terrell', 'rank': 4, 'major': 'N'}]",2009-09-12T18:52:50+0000,article,Sports,Sports,Question,nyt://article/e9b4a517-3d4b-5652-91ea-1acdf158fffa,393,nyt://article/e9b4a517-3d4b-5652-91ea-1acdf158fffa,Some Busy Routes in the Off-Season,30 Seconds With Terrell Owens,,Some Busy Routes In the Off-Season,,,,By Jonathan Abrams,"[{'firstname': 'Jonathan', 'middlename': None, 'lastname': 'Abrams', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Pro Football,Alzheimer
"People over 60 who consume moderate amounts of alcohol have a reduced risk for Alzheimer’s disease and other dementias, according to a large review of studies.",https://www.nytimes.com/2009/09/01/health/research/01aging.html,"People over 60 who consume moderate amounts of alcohol have a reduced risk for Alzheimer’s disease and other dementias, according to a large review of studies.","People over 60 who consume moderate amounts of alcohol have a reduced risk for Alzheimer’s disease and other dementias, according to a large review of studies.",D,6,The New York Times,[],"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Alcoholic Beverages', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 6, 'major': 'N'}]",2009-08-31T19:23:28+0000,article,Science,Health,News,nyt://article/0cecadbe-da82-5152-aa1f-8934e19e5e43,205,nyt://article/0cecadbe-da82-5152-aa1f-8934e19e5e43,Aging: Moderate Drinking May Help the Brain,Vital Signs,,Aging: Moderate Drinking May Help the Brain,,,,By Nicholas Bakalar,"[{'firstname': 'Nicholas', 'middlename': None, 'lastname': 'Bakalar', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Research,Alzheimer
A Mediterranean-style diet along with regular activity reduced the risk of Alzheimer’s disease.,https://www.nytimes.com/2009/08/18/health/18prev.html,A Mediterranean-style diet along with regular activity reduced the risk of Alzheimer’s disease.,"Older people who exercise seem to be at lower risk for Alzheimer’s disease, as are those who eat a Mediterranean-style diet. Now, a new study has found that the effects of the two lifestyle behaviors are independent of one another  and together, they add up.",D,6,The New York Times,[],"[{'name': 'subject', 'value': 'Elderly', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}]",2009-08-13T21:02:16+0000,article,Science,Health,News,nyt://article/dab88300-24dd-5a88-8d32-bf984705fa69,218,nyt://article/dab88300-24dd-5a88-8d32-bf984705fa69,Prevention: Diet and Exercise Lower Alzheimer’s Risk,Vital Signs,,"Prevention: In Alzheimer’s, Diet and Exercise Add Up",,,,By Roni Caryn Rabin,"[{'firstname': 'Roni', 'middlename': 'Caryn', 'lastname': 'Rabin', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,Alzheimer
Even a slight elevation in cholesterol levels in a person’s 40s raised the risk of dementia decades later.,https://www.nytimes.com/2009/08/06/health/dementia05.html,Even a slight elevation in cholesterol levels in a person’s 40s raised the risk of dementia decades later.,"Adults who had just slightly elevated blood cholesterol when they were in their early 40s were at greater risk of developing dementia decades later, compared with those whose cholesterol was at optimal levels, a new study has found.",,,The New York Times,[],"[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Cholesterol', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}]",2009-08-05T16:30:21+0000,article,Science,Health,News,nyt://article/4f62ce8d-d9fa-51d1-9108-2b69b9dd7654,298,nyt://article/4f62ce8d-d9fa-51d1-9108-2b69b9dd7654,Mildly High Cholesterol at Midlife Linked to Alzheimer’s,Vital Signs,,Mildly High Cholesterol at Midlife Linked to Alzheimer’s,,,,By Roni Caryn Rabin,"[{'firstname': 'Roni', 'middlename': 'Caryn', 'lastname': 'Rabin', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,Alzheimer
