abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,query_consulta
The N.F.L. conceded publicly for the first time that concussions can have lasting consequences.,https://www.nytimes.com/2009/12/21/sports/football/21concussions.html,The N.F.L. conceded publicly for the first time that concussions can have lasting consequences.,"After weeks of transforming its approach to concussions and its research into their long-term effects among players, the N.F.L. not only announced Sunday that it would support research by its most vocal critics but also conceded publicly for the first time that concussions can have lasting consequences.",D,1,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/12/21/sports/21concussions/popup.jpg', 'height': 447, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/12/21/sports/21concussions/articleInline.jpg', 'height': 131, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/12/21/sports/21concussions/thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2009/12/21/sports/21concussions/thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'organizations', 'value': 'Boston University', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Brain', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Concussions', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Goodell, Roger', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Football', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'National Football League', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Johnson, Ted', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 9, 'major': 'N'}]",2009-12-21T00:39:04+0000,article,Sports,Sports,Pro Football,News,nyt://article/716c3272-e2bf-5f7d-b378-4ea076536315,1146,nyt://article/716c3272-e2bf-5f7d-b378-4ea076536315,N.F.L. Acknowledges Long-Term Concussion Effects,,,N.F.L. Acknowledges Long-Term Concussion Effects,,,,By Alan Schwarz,"[{'firstname': 'Alan', 'middlename': None, 'lastname': 'Schwarz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
Even hardened skeptics of the N.F.L.’s approach to concussions say that the league has taken what they see as meaningful steps toward addressing the health of its players.,https://www.nytimes.com/2009/11/26/sports/football/26concussions.html,Even hardened skeptics of the N.F.L.’s approach to concussions say that the league has taken what they see as meaningful steps toward addressing the health of its players.," Andre Waters, a former N.F.L. defensive back, put a pistol in his mouth, pulled the trigger and  however unknowingly  sounded an alarm on the seriousness of football brain injuries.",B,10,The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/11/26/sports/26concussions_CA0/articleInline.jpg', 'height': 230, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/11/26/sports/26concussions_CA0/thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2009/11/26/sports/26concussions_CA0/thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Brain', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Concussions', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Goodell, Roger', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Accidents and Safety', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Football', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'National Football League', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Waters, Andre', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 8, 'major': 'N'}]",2009-11-26T02:53:32+0000,article,Sports,Sports,Pro Football,News Analysis,nyt://article/90963f2c-9ff4-5323-bdd5-96a81ce4f730,1042,nyt://article/90963f2c-9ff4-5323-bdd5-96a81ce4f730,N.F.L.’s Moves Signal a Truce on Concussions,Analysis,,N.F.L.’s Moves Signal A Truce,,,,By Alan Schwarz,"[{'firstname': 'Alan', 'middlename': None, 'lastname': 'Schwarz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
Experts in dementia and health policy cited numerous problems with the league’s study on concussions.,https://www.nytimes.com/2009/10/27/sports/football/27study.html,Experts in dementia and health policy cited numerous problems with the league’s study on concussions.,"The N.F.L. and its doctors have consistently dismissed independent studies showing unusual cognitive decline in former players. They insist that a long-term study by the league’s committee on concussions, expected to be published in several years, will be the authoritative analysis.",B,10,The New York Times,[],"[{'name': 'subject', 'value': 'Brain', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Long Island Jewish Medical Center', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Concussions', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Football', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Campbell, Eric', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'National Football League', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'House Committee on the Judiciary', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Browne, Joe', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 9, 'major': 'N'}, {'name': 'persons', 'value': 'Sanchez, Linda T', 'rank': 10, 'major': 'N'}, {'name': 'persons', 'value': 'Carson, Harry', 'rank': 11, 'major': 'N'}, {'name': 'subject', 'value': 'Sports Medicine', 'rank': 12, 'major': 'N'}]",2009-10-27T03:17:36+0000,article,Sports,Sports,Pro Football,News,nyt://article/a8883f3f-4701-5439-9ce9-7a66394d5bd7,1336,nyt://article/a8883f3f-4701-5439-9ce9-7a66394d5bd7,"N.F.L.’s Dementia Study Has Flaws, Experts Say",,,"N.F.L. Study Of Dementia Has Flaws, Experts Say",,,,By Alan Schwarz,"[{'firstname': 'Alan', 'middlename': None, 'lastname': 'Schwarz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
A flawed union analysis unwittingly corroborates the theory that aging pro football players have cognitive problems at higher rates than the general population.,https://www.nytimes.com/2009/10/24/sports/football/24dementia.html,A flawed union analysis unwittingly corroborates the theory that aging pro football players have cognitive problems at higher rates than the general population.,"When a survey commissioned by the National Football League recently indicated that dementia or similar memory-related diseases had been diagnosed in its retired players vastly more often than in the national population, the league claimed the study was unreliable.",D,1,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/24/sports/24dementia_CA0/articleLarge.jpg', 'height': 360, 'width': 600, 'legacy': {'xlarge': 'images/2009/10/24/sports/24dementia_CA0/articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 360}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/24/sports/24dementia_CA0/articleLarge.jpg', 'height': 360, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/24/sports/24dementia_CA0/sfSpan.jpg', 'height': 255, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/24/sports/24dementia_CA0/thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2009/10/24/sports/24dementia_CA0/thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Brain', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Concussions', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Goodell, Roger', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'National Football League', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Smith, DeMaurice', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 8, 'major': 'N'}]",2009-10-24T01:01:01+0000,article,Sports,Sports,Pro Football,News,nyt://article/cb40d3c0-adf1-5759-808e-ceb070e056ab,1736,nyt://article/cb40d3c0-adf1-5759-808e-ceb070e056ab,N.F.L. Data Reinforces Dementia Links,,,N.F.L. Data Reinforces Dementia Links,,,,By Alan Schwarz,"[{'firstname': 'Alan', 'middlename': None, 'lastname': 'Schwarz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"As a House Judiciary Committee examined football brain injuries and criticized the league and its concussion committee, the union executive director said the union’s response was lethargic.",https://www.nytimes.com/2009/11/01/sports/football/01union.html,"As a House Judiciary Committee examined football brain injuries and criticized the league and its concussion committee, the union executive director said the union’s response was lethargic.","WASHINGTON  The helmet sits under glass at the headquarters of the football players union, memorializing the play-at-all-costs warrior who strapped it on every Sunday. Four swaths of duct tape suture the crown. Screws are broken, the enamel is cracked, and two Raiders logos cling for dear life. During his 15 years as an N.F.L. lineman, this was the only helmet Gene Upshaw wore.",SP,1,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/11/01/sports/01union_CA0/articleLarge.jpg', 'height': 329, 'width': 600, 'legacy': {'xlarge': 'images/2009/11/01/sports/01union_CA0/articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 329}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/11/01/sports/01union_CA0/articleLarge.jpg', 'height': 329, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}]","[{'name': 'subject', 'value': 'Concussions', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Football', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'National Football League', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Schwarz, Alan', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Sports Medicine', 'rank': 6, 'major': 'N'}]",2009-10-31T15:18:02+0000,article,Sports,Sports,Pro Football,News,nyt://article/ccc0e8a9-f6ca-52f7-a871-eba3c2d54a6f,1275,nyt://article/ccc0e8a9-f6ca-52f7-a871-eba3c2d54a6f,N.F.L. Players and Union Say They Share Blame on Head Injuries,,,N.F.L. Union Says It Shares Blame On Head Injuries,,,,By Alan Schwarz,"[{'firstname': 'Alan', 'middlename': None, 'lastname': 'Schwarz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"Dementia, often viewed as a disease of the mind, is also a progressive physical disease.",https://www.nytimes.com/2009/10/20/health/20well.html,"Dementia, often viewed as a disease of the mind, is also a progressive physical disease.","Dementia is often viewed as a disease of the mind, an illness that erases treasured memories but leaves the body intact.",D,5,The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/19/science/well_480.jpg', 'height': 314, 'width': 480, 'legacy': {'widewidth': 480, 'wideheight': 314, 'wide': 'images/2009/10/19/science/well_480.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/19/science/well.650.1.jpg', 'height': 450, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/19/science/well.190.1.jpg', 'height': 127, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/19/science/well_395.1.jpg', 'height': 262, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/19/science/well.7575.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2009/10/19/science/well.7575.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Mental Health and Disorders', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Hospice Care', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Death and Dying', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 9, 'major': 'N'}]",2009-10-19T21:34:34+0000,article,Science,Health,,News,nyt://article/439ba6d2-38d6-5edd-921f-7f88b5388a03,827,nyt://article/439ba6d2-38d6-5edd-921f-7f88b5388a03,"Treating Dementia, but Overlooking Its Physical Toll",Well,,"Treating Dementia, but Overlooking Its Physical Toll",,,,By Tara Parker-Pope,"[{'firstname': 'Tara', 'middlename': None, 'lastname': 'Parker-Pope', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"Commissioner Roger Goodell faced heated criticism before a House committee, with lawmakers, former players and a former team executive accusing the league of neglect.",https://www.nytimes.com/2009/10/29/sports/football/29hearing.html,"Commissioner Roger Goodell faced heated criticism before a House committee, with lawmakers, former players and a former team executive accusing the league of neglect.","WASHINGTON  The commissioner of the N.F.L. faced heated criticism Wednesday before the House Judiciary Committee, with lawmakers, former players and even a former team executive accusing the league of neglect in its handling of active and retired players with brain injuries.",B,12,The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/29/sports/29hearing_CA0/articleInline.jpg', 'height': 171, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/29/sports/29hearing_CA0/thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2009/10/29/sports/29hearing_CA0/thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'persons', 'value': 'Conyers, John Jr', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Concussions', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Goodell, Roger', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Football', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'House Committee on the Judiciary', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'National Football League', 'rank': 7, 'major': 'N'}]",2009-10-29T01:22:48+0000,article,Sports,Sports,Pro Football,News,nyt://article/ea019392-f2da-5eb2-9e21-00de881ff1df,1112,nyt://article/ea019392-f2da-5eb2-9e21-00de881ff1df,N.F.L. Scolded Over Injuries to Its Players,,,N.F.L. Is Scolded Over Care On Injuries,,,,By Alan Schwarz,"[{'firstname': 'Alan', 'middlename': None, 'lastname': 'Schwarz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
We are now getting a sense of what we were watching for decades when the broadcasters gave pro football the old biff-bam-pow seal of approval.,https://www.nytimes.com/2009/10/29/sports/football/29vecsey.html,We are now getting a sense of what we were watching for decades when the broadcasters gave pro football the old biff-bam-pow seal of approval.,We are now getting a sense of what we were watching for decades when the broadcasters gave pro football the old biff-bam-pow seal of approval. ,B,14,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/29/sports/29vecsey_CA0/articleLarge.jpg', 'height': 378, 'width': 600, 'legacy': {'xlarge': 'images/2009/10/29/sports/29vecsey_CA0/articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 378}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/29/sports/29vecsey_CA0/articleLarge.jpg', 'height': 378, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/29/sports/29vecsey_CA0/articleInline.jpg', 'height': 127, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/29/sports/29vecsey_CA0/thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2009/10/29/sports/29vecsey_CA0/thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Culverhouse, Gay', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Goodell, Roger', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Football', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Schwarz, Alan', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'House Committee on the Judiciary', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'National Football League', 'rank': 7, 'major': 'N'}]",2009-10-29T00:59:42+0000,article,Sports,Sports,Pro Football,News,nyt://article/1cec42e4-40ea-5e79-aeef-938d8e1b6a9d,947,nyt://article/1cec42e4-40ea-5e79-aeef-938d8e1b6a9d,Hearings Reveal the True Price of Football,Sports of The Times,,We're All Finally Learning The True Price Of Football,,,,By George Vecsey,"[{'firstname': 'George', 'middlename': None, 'lastname': 'Vecsey', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"Gay Culverhouse, former president of the Tampa Bay Buccaneers who is battling terminal illness, wants to speak out on brain trauma in the N.F.L.",https://www.nytimes.com/2009/10/28/sports/football/28football.html,"Gay Culverhouse, former president of the Tampa Bay Buccaneers who is battling terminal illness, wants to speak out on brain trauma in the N.F.L.","TAMPA, Fla.  As the president of the Tampa Bay Buccaneers and the daughter of their owner, Gay Culverhouse was the woman in the men’s locker room. Twenty years later, she is trying to keep her former players out of the emergency room.",A,1,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/27/sports/football/28football1/articleLarge.jpg', 'height': 330, 'width': 600, 'legacy': {'xlarge': 'images/2009/10/27/sports/football/28football1/articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 330}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/27/sports/football/28football1/articleLarge.jpg', 'height': 330, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/27/sports/football/28football1/sfSpan.jpg', 'height': 264, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/27/sports/football/28football1/thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2009/10/27/sports/football/28football1/thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Concussions', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Tampa Bay Buccaneers', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Football', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'National Football League', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Sports Medicine', 'rank': 6, 'major': 'N'}]",2009-10-27T18:01:41+0000,article,Sports,Sports,Pro Football,News,nyt://article/d15d3163-9fe8-50cd-bde8-9f9e91dda7f1,1134,nyt://article/d15d3163-9fe8-50cd-bde8-9f9e91dda7f1,Ex-N.F.L. Executive Sounds Alarm on Head Injury,,,N.F.L. Players With Head Injuries Find a Voice,,,,By Alan Schwarz,"[{'firstname': 'Alan', 'middlename': None, 'lastname': 'Schwarz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"Retirees have found that the National Football League’s disability plan, run jointly with the players union, is not structured to consider dementia to be an occupational risk.",https://www.nytimes.com/2009/10/01/sports/football/01dementia.html,"Retirees have found that the National Football League’s disability plan, run jointly with the players union, is not structured to consider dementia to be an occupational risk.","For the past decade, Brent Boyd, a former N.F.L. lineman who began experiencing memory loss and dementia-related symptoms in his 40s, has received relatively low payments from the National Football League’s disability plan because the plan-appointed doctor concluded that football “could not be organically responsible for all or even a major portion” of his condition.",B,11,The New York Times,[],"[{'name': 'subject', 'value': 'Pensions and Retirement Plans', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Concussions', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Football', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'National Football League', 'rank': 6, 'major': 'N'}]",2009-10-01T01:40:08+0000,article,Sports,Sports,Pro Football,News,nyt://article/f05a35bb-c054-5eef-8645-8c2b2070970e,1161,nyt://article/f05a35bb-c054-5eef-8645-8c2b2070970e,N.F.L. Dementia Debate Could Intensify,,,Dementia Debate Could Intensify,,,,By Alan Schwarz,"[{'firstname': 'Alan', 'middlename': None, 'lastname': 'Schwarz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
