abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,query_consulta,slideshow_credits
"Pat Summitt, the Tennessee women’s basketball coach, has early onset Alzheimer’s. On Sunday, she led the Lady Volunteers to victory and won an award for courage.",https://www.nytimes.com/2011/12/12/sports/ncaabasketball/pat-summitt-wins-and-inspires-while-fighting-alzheimers.html,"Pat Summitt, the Tennessee women’s basketball coach, has early onset Alzheimer’s. On Sunday, she led the Lady Volunteers to victory and won an award for courage.",The coach who is most credentialed in her sport to speak her mind and was never shy about expressing herself no longer addresses the news media after a game. Such is the new abnormal for Pat Summitt and her famous Tennessee women’s basketball team.,D,4,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/12/sports/YSUMMITT/YSUMMITT-articleLarge.jpg', 'height': 405, 'width': 600, 'legacy': {'xlarge': 'images/2011/12/12/sports/YSUMMITT/YSUMMITT-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 405}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/12/sports/YSUMMITT/YSUMMITT-blog480.jpg', 'height': 347, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/12/sports/YSUMMITT/YSUMMITT-jumbo.jpg', 'height': 741, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/12/sports/YSUMMITT/YSUMMITT-popup.jpg', 'height': 470, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/12/sports/YSUMMITT/YSUMMITT-articleInline.jpg', 'height': 137, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/12/sports/YSUMMITT/YSUMMITT-sfSpan.jpg', 'height': 286, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/12/sports/YSUMMITT/YSUMMITT-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2011/12/12/sports/YSUMMITT/YSUMMITT-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Basketball (College)', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Madison Square Garden', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'University of Tennessee', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Basketball', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'College Athletics', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'DePaul University', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Mulkey, Kim', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Awards, Decorations and Honors', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 9, 'major': 'N'}, {'name': 'persons', 'value': 'Summitt, Pat', 'rank': 10, 'major': 'N'}]",2011-12-12T02:02:53+0000,article,Sports,Sports,College Basketball,News,nyt://article/0b72f556-7aaa-5122-a484-d9cd6270f5cc,839,nyt://article/0b72f556-7aaa-5122-a484-d9cd6270f5cc,"Summitt Still Inspires, Often in Silence",,,"Summitt Still Inspires, Often in Silence",,,,By Harvey Araton,"[{'firstname': 'Harvey', 'middlename': None, 'lastname': 'Araton', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
Dr. Williams was a former director of the National Institute on Aging and a longtime professor at the University of Rochester.,https://www.nytimes.com/2011/12/03/us/t-franklin-williams-early-geriatric-specialist-dies-at-89.html,Dr. Williams was a former director of the National Institute on Aging and a longtime professor at the University of Rochester.,"Dr. T. Franklin Williams, a former director of the National Institute on Aging and an early proponent of geriatric care as a medical specialty, died at his home in Rochester on Nov. 25, the day before his 90th birthday.",A,28,The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/03/us/03williams_1/03williams_1-jumbo.jpg', 'height': 1024, 'width': 695, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/03/us/03williams_1/03williams_1-popup.jpg', 'height': 500, 'width': 339, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/03/us/03williams_1/03williams_1-articleInline.jpg', 'height': 280, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/03/us/03williams_1/03williams_1-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2011/12/03/us/03williams_1/03williams_1-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'organizations', 'value': 'University of Rochester Medical Center', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'National Institute on Aging', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 7, 'major': 'N'}]",2011-12-03T22:27:42+0000,article,National,U.S.,,Obituary (Obit),nyt://article/da5fd1d4-3b5a-59b0-bbe7-a38973059f7e,450,nyt://article/da5fd1d4-3b5a-59b0-bbe7-a38973059f7e,"T. Franklin Williams, Early Geriatric Specialist, Dies at 89",,,"T. Franklin Williams, 89, Early Geriatric Specialist",,,,By Dennis Hevesi,"[{'firstname': 'Dennis', 'middlename': None, 'lastname': 'Hevesi', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
"Low levels of the essential vitamin can bring on symptoms including muscle weakness, fatigue, shakiness, unsteady gait, incontinence, low blood pressure and depression.",https://www.nytimes.com/2011/11/29/health/vitamin-b12-deficiency-can-cause-symptoms-that-mimic-aging.html,"Low levels of the essential vitamin can bring on symptoms including muscle weakness, fatigue, shakiness, unsteady gait, incontinence, low blood pressure and depression.","Ilsa Katz was 85 when her daughter, Vivian Atkins, first noticed that her mother was becoming increasingly confused.",D,7,The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/11/29/science/29BROD/29BROD-jumbo.jpg', 'height': 1024, 'width': 656, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/11/29/science/29BROD/29BROD-popup.jpg', 'height': 500, 'width': 321, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/11/29/science/29BROD/29BROD-articleInline.jpg', 'height': 296, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/11/29/science/29BROD/29BROD-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2011/11/29/science/29BROD/29BROD-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Memory', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Vitamin B12', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Diet and Nutrition', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Vitamins', 'rank': 7, 'major': 'N'}]",2011-11-28T19:49:04+0000,article,Science,Health,,News,nyt://article/c64acb2c-2bd2-55c1-a8d9-f767a303f691,1119,nyt://article/c64acb2c-2bd2-55c1-a8d9-f767a303f691,"It Could Be Old Age, or It Could Be Low B12",Personal Health,,"It Could Be Old Age, or It Could Be Low B12",,,,By Jane E. Brody,"[{'firstname': 'Jane', 'middlename': 'E.', 'lastname': 'Brody', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
Researchers initiate an effort to understand how patients cope after learning they have cognitive problems.,https://newoldage.blogs.nytimes.com/2011/11/23/its-mild-cognitive-impairment-now-what/,Researchers initiate an effort to understand how patients cope after learning they have cognitive problems.,"How would you react to a diagnosis of mild cognitive impairment — memory problems that allow you to continue normal daily activities, but presage an increased likelihood of developing Alzheimer’s disease within a few years?",,,The New York Times,[],"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 3, 'major': 'N'}]",2011-11-23T17:18:37+0000,article,,Health,,News,nyt://article/47492a2d-74a5-5687-8b8b-443a39c9ee8d,580,nyt://article/47492a2d-74a5-5687-8b8b-443a39c9ee8d,It’s Mild Cognitive Impairment. Now What?,The New Old Age,,,,,,By Paula Span,"[{'firstname': 'Paula', 'middlename': None, 'lastname': 'Span', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
"Tom Brown was unseeded but made it to the semifinals at Wimbledon in 1946, and later dominated senior amateur play.",https://straightsets.blogs.nytimes.com/2011/11/02/tom-brown-a-star-for-four-decades-dies-at-89/,"Tom Brown was unseeded but made it to the semifinals at Wimbledon in 1946, and later dominated senior amateur play.","Tom Brown, who reached the men’s singles final of United States Tennis Championships at Forest Hills in 1946 and at Wimbledon in 1947, losing both times to Jack Kramer, died Oct. 27 in Castro Valley, Calif. He was 89.",,,The New York Times,[],"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Davis Cup', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Tennis', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Wimbledon Tennis Tournament', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Collins, Bud', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Kramer, Jack', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Riggs, Bobby', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Segura, Pancho', 'rank': 8, 'major': 'N'}, {'name': 'organizations', 'value': 'University of California, Berkeley', 'rank': 9, 'major': 'N'}, {'name': 'glocations', 'value': 'California', 'rank': 10, 'major': 'N'}, {'name': 'glocations', 'value': 'Forest Hills (NYC)', 'rank': 11, 'major': 'N'}, {'name': 'glocations', 'value': 'San Francisco (Calif)', 'rank': 12, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 13, 'major': 'N'}]",2011-11-02T18:15:11+0000,article,,Sports,Tennis,News,nyt://article/bf2de6cb-16a1-558c-be71-7df3b863cd71,802,nyt://article/bf2de6cb-16a1-558c-be71-7df3b863cd71,"Tom Brown, a Star for Five Decades, Dies at 89",Straight Sets,,,,,,By John Martin,"[{'firstname': 'John', 'middlename': None, 'lastname': 'Martin', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
The judge in the case of Liliane Bettencourt based her decision on a medical evaluation that indicated the heiress suffers from dementia and Alzheimer's disease.,https://www.nytimes.com/2011/10/18/world/europe/french-court-puts-loreal-heiress-under-guardianship.html,The judge in the case of Liliane Bettencourt based her decision on a medical evaluation that indicated the heiress suffers from dementia and Alzheimer's disease.,"Liliane Bettencourt, the aging heiress of the L’Oréal cosmetics fortune, was placed under the care of a legal guardian Monday by a judge, who based the decision on a medical evaluation that indicated she suffers from dementia and Alzheimer’s disease.",A,9,The New York Times,[],"[{'name': 'glocations', 'value': 'France', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bettencourt, Liliane', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': ""L'Oreal SA"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Decisions and Verdicts', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 6, 'major': 'N'}]",2011-10-17T19:34:04+0000,article,Foreign,World,Europe,News,nyt://article/87acc3f6-23b9-5561-a40e-db2ddf592a2c,630,nyt://article/87acc3f6-23b9-5561-a40e-db2ddf592a2c,French Court Puts L'Oréal Heiress Under Guardianship,World Briefing | Europe,,France: Heiress Loses Control of Fortune,,,,By Doreen Carvajal,"[{'firstname': 'Doreen', 'middlename': None, 'lastname': 'Carvajal', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
A family from Colombia with a link to an inherited form of Alzheimer’s disease are considered ideal for testing of preventive treatments.,https://www.nytimes.com/2011/10/04/health/04alzheimers.html,A family from Colombia with a link to an inherited form of Alzheimer’s disease are considered ideal for testing of preventive treatments.,"For the Betancur family, it was a kind of pilgrimage, an act of faith in science. ",D,5,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/10/04/science/04ALZH/04ALZH-articleLarge.jpg', 'height': 360, 'width': 600, 'legacy': {'xlarge': 'images/2011/10/04/science/04ALZH/04ALZH-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 360}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/10/04/science/04ALZH/04ALZH-blog480.jpg', 'height': 314, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/10/04/science/04ALZH/04ALZH-jumbo.jpg', 'height': 671, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/10/04/science/04ALZH/04ALZH-articleLarge.jpg', 'height': 360, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/10/04/science/04ALZH/04ALZH-sfSpan.jpg', 'height': 250, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/10/04/science/04ALZH/04ALZH-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2011/10/04/science/04ALZH/04ALZH-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Genetics and Heredity', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Colombia', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Clinical Trials', 'rank': 5, 'major': 'N'}]",2011-10-03T20:54:37+0000,article,Science,Health,,News,nyt://article/b5da8efd-081b-5e38-8985-ee2c38a88b66,972,nyt://article/b5da8efd-081b-5e38-8985-ee2c38a88b66,"Hoping to Crack Alzheimer’s, Together as a Family",,,"Hoping to Crack Alzheimer’s, Together as a Family",,,,By Pam Belluck and Salvador Rodriguez,"[{'firstname': 'Pam', 'middlename': None, 'lastname': 'Belluck', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Salvador', 'middlename': None, 'lastname': 'Rodriguez', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",,Alzheimer,
A shoe with a hidden G.P.S. device may help caregivers find wandering family members.,https://newoldage.blogs.nytimes.com/2011/10/14/a-shoe-for-wanderers/,A shoe with a hidden G.P.S. device may help caregivers find wandering family members.,"I hear from lots of publicists touting technology products that supposedly help older adults, and I ignore most of the gizmos they’re promoting. Without a skilled and unbiased Consumer Reports-type lab to test these inventions — and could someone please create one soon? — it’s too hard to tell which actually work well.",,,The New York Times,[],"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 3, 'major': 'N'}]",2011-10-14T16:59:37+0000,article,,Health,,News,nyt://article/dac08bf4-48d7-56cd-9f97-40a0c6e05921,599,nyt://article/dac08bf4-48d7-56cd-9f97-40a0c6e05921,A Shoe for Wanderers,The New Old Age,,,,,,By Paula Span,"[{'firstname': 'Paula', 'middlename': None, 'lastname': 'Span', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
"On Tuesday, a committee meets in Washington to begin putting together a national plan to fight Alzheimer’s disease. You are cordially invited.",https://newoldage.blogs.nytimes.com/2011/09/26/coming-soon-a-national-strategy-on-alzheimers/,"On Tuesday, a committee meets in Washington to begin putting together a national plan to fight Alzheimer’s disease. You are cordially invited.","People concerned about Alzheimer’s disease and its effect on families, on the health care system, on the country as a whole, have lobbied for years for a national action plan. How should the nation confront a disease projected to afflict more than 13 million Americans by 2050 — a disease gaining on cancer as the illness Americans dread most?",,,The New York Times,[],"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': ""National Alzheimer's Project"", 'rank': 5, 'major': 'N'}]",2011-09-26T19:07:50+0000,article,,Health,,News,nyt://article/29499d81-3dc9-5755-8450-dfe0bcfc9c63,688,nyt://article/29499d81-3dc9-5755-8450-dfe0bcfc9c63,Coming Soon: A National Strategy on Alzheimer’s,The New Old Age,,,,,,By Paula Span,"[{'firstname': 'Paula', 'middlename': None, 'lastname': 'Span', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
Television evangelist Pat Robertson has sparked controversy with his suggestion that a man could divorce his wife with Alzheimer’s once she no longer recognized him.,https://well.blogs.nytimes.com/2011/09/16/love-divorce-and-alzheimers/,Television evangelist Pat Robertson has sparked controversy with his suggestion that a man could divorce his wife with Alzheimer’s once she no longer recognized him.,The television evangelist Pat Robertson has sparked controversy with his suggestion that a man could divorce his wife with Alzheimer’s once she no longer recognized him.,,,The New York Times,[],"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Divorce, Separations and Annulments', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Marriages', 'rank': 3, 'major': 'N'}]",2011-09-16T18:18:21+0000,article,,Health,,News,nyt://article/3b3832d3-0699-53ba-ae16-2ff7b5491a78,484,nyt://article/3b3832d3-0699-53ba-ae16-2ff7b5491a78,"Love, Divorce and Alzheimer’s",Well,,,,,,By Tara Parker-Pope,"[{'firstname': 'Tara', 'middlename': None, 'lastname': 'Parker-Pope', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
