abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,query_consulta,subsection_name
Clyde Haberman NYC column describes scene at conference on Alzheimer's Disease sponsored by New York City's Department of Aging at New York Hilton (M),https://www.nytimes.com/1999/11/05/nyregion/nyc-alzheimer-s-with-tears-on-the-side.html,Clyde Haberman NYC column describes scene at conference on Alzheimer's Disease sponsored by New York City's Department of Aging at New York Hilton (M),"SHE ought to start carrying tissues wherever she goes, the young New York woman was saying between sniffles. The tears seem to flow all the time these days.",B,1,The New York Times,[],"[{'name': 'glocations', 'value': 'New York City', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}]",1999-11-05T05:00:00+0000,article,Metropolitan Desk,New York,News,nyt://article/006ccbad-62cc-5f15-ac5d-6d4cd3680e5c,768,nyt://article/006ccbad-62cc-5f15-ac5d-6d4cd3680e5c,"Alzheimer's, With Tears On the Side",N.Y.C.,,"N.Y.C.; Alzheimer's, With Tears On the Side",,,,By Clyde Haberman,"[{'firstname': 'Clyde', 'middlename': None, 'lastname': 'Haberman', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
Public Lives column; scene at auction to raise money for assisted-living wing for Alzheimer's patients at Cobble Hill Health Center in Brooklyn described; Harold Evans discusses his hosting US News and World Report's new public television panel discussion program World At Large; photo (M),https://www.nytimes.com/1999/11/11/nyregion/public-lives.html,Public Lives column; scene at auction to raise money for assisted-living wing for Alzheimer's patients at Cobble Hill Health Center in Brooklyn described; Harold Evans discusses his hosting US News and World Report's new public television panel di...,"A Swinger, a Miss And an Injury",B,2,The New York Times,[],"[{'name': 'organizations', 'value': 'Cobble Hill Health Center', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'US News & World Report', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'EVANS, HAROLD', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Television', 'rank': 5, 'major': 'N'}, {'name': 'creative_works', 'value': 'WORLD AT LARGE (TV PROGRAM)', 'rank': 6, 'major': 'N'}]",1999-11-11T05:00:00+0000,article,Metropolitan Desk,New York,News,nyt://article/e0025063-4c40-56d9-8430-b848e695581a,687,nyt://article/e0025063-4c40-56d9-8430-b848e695581a,PUBLIC LIVES,,,PUBLIC LIVES,,,,By James Barron With Joe Brescia,"[{'firstname': 'James', 'middlename': 'Barron', 'lastname': 'With', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
"Scientists discover enzyme that plays into development of Alzheimer's disease, opening door to developing drugs that might block it and, if drugs prove safe, to preventing or slowing the disease; discovery of enzyme had eluded teams of scientists at universities and drug companies for more than decade, although they had given it a name, beta-secretase; so many false claims of victory were announced that investigators automatically doubted anyone who claimed to have found it; but experts say that new work by Dr Martin Citron and his colleagues at Amgen, biotechnology company in Thousand Oaks, Calif, is different--that it passes crucial tests of authenticity, convincing even some skeptics; report appears in Oct 22 issue of Science (M)",https://www.nytimes.com/1999/10/22/us/scientists-find-enzyme-linked-to-alzheimer-s.html,"Scientists discover enzyme that plays into development of Alzheimer's disease, opening door to developing drugs that might block it and, if drugs prove safe, to preventing or slowing the disease; discovery of enzyme had eluded teams of scientists ...","The long, brutal process that leads to Alzheimer's disease starts when a single enzyme snips a protein that protrudes from brain cells, leading to the release of toxic shards. Now scientists report that they have found that enzyme, opening the door to developing drugs that might block it and, if the drugs prove safe, to preventing or slowing the disease.",A,1,The New York Times,[],"[{'name': 'organizations', 'value': 'SCIENCE', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'AMGEN INC', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Citron, Martin', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Drugs (Pharmaceuticals)', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'ENZYMES', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 7, 'major': 'N'}]",1999-10-22T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/597c7e45-b859-59c2-94bf-02a7ae6c3d9a,923,nyt://article/597c7e45-b859-59c2-94bf-02a7ae6c3d9a,Scientists Find Enzyme Linked To Alzheimer's,,,Scientists Find Enzyme Linked To Alzheimer's,,,,By Gina Kolata,"[{'firstname': 'Gina', 'middlename': None, 'lastname': 'Kolata', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
Public Lives column notes that New York University will officially open faculty club on Waverly Place on Oct 16; also notes that Rita Hayworth Gala to benefit Alzheimer's disease research was held at Waldorf-Astoria Hotel on Oct 13; photos (M),https://www.nytimes.com/1999/10/15/nyregion/public-lives.html,Public Lives column notes that New York University will officially open faculty club on Waverly Place on Oct 16; also notes that Rita Hayworth Gala to benefit Alzheimer's disease research was held at Waldorf-Astoria Hotel on Oct 13; photos (M),"Again, N.Y.U. Can Be Clubby",B,2,The New York Times,[],"[{'name': 'organizations', 'value': 'Waldorf-Astoria Hotel', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'New York University', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Hayworth, Rita', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}]",1999-10-15T05:00:00+0000,article,Metropolitan Desk,New York,News,nyt://article/66590b09-8668-5dc8-b1f0-1c630153f364,618,nyt://article/66590b09-8668-5dc8-b1f0-1c630153f364,PUBLIC LIVES,,,PUBLIC LIVES,,,,By Charles Strum,"[{'firstname': 'Charles', 'middlename': None, 'lastname': 'Strum', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
"Pangea Systems, whose 'bioinformatic' software provides access to genetic data spawned by Human Genome Project, is about to launch Doubletwist.com, a new Web site intended to make on-line genetic and biological research fast, easy and available to any amateur or professional biologist; test phase will be limited to student body and faculty of Stanford University; eventually casual users will be able to access information at no charge, while heavy users will pay for it on a sliding scale, but far less than the $500,000 or more Pangea now charges big pharmaceutical companies; other bioinformatics companies may soon follow suit; some industry executives foresee the day when an educated consumer might take a CD-ROM containing a laboratory's rendering of his genetic profile, and combine it with a Web surf through gene libraries to determine his predisposition toward adverse drug reactions, for example, or for Alzheimer's disease, colon cancer or other afflictions that might eventually be treatable through gene therapy; photos (M)",https://www.nytimes.com/1999/09/20/business/surfing-the-human-genome-data-bases-of-genetic-code-are-moving-to-the-web.html,"Pangea Systems, whose 'bioinformatic' software provides access to genetic data spawned by Human Genome Project, is about to launch Doubletwist.com, a new Web site intended to make on-line genetic and biological research fast, easy and available to...",Call it an end-of-the-century business case study.,C,1,The New York Times,[],"[{'name': 'organizations', 'value': 'Doubletwist.com', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Pangea System Inc', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Stanford University', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Human Genome Project', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Genetics and Heredity', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Drugs (Pharmaceuticals)', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Cancer', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'CD-ROM (Compact Disk-Read Only Memory)', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'Computers and the Internet', 'rank': 11, 'major': 'N'}]",1999-09-20T05:00:00+0000,article,Business/Financial Desk,Business Day,News,nyt://article/eafb1dc8-40ce-507a-9b5d-91d33166a288,2292,nyt://article/eafb1dc8-40ce-507a-9b5d-91d33166a288,Surfing the Human Genome; Data Bases of Genetic Code Are Moving to the Web,,,Surfing the Human Genome; Data Bases of Genetic Code Are Moving to the Web,,,,By Lawrence M. Fisher,"[{'firstname': 'Lawrence', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
"Steve Gettinger Lives column on death of his mother to Alzheimer's disease; says her regression into the disease had some subtle rewards, enabling her to go back into infancy and find pleasure in little things; says that while disease robbed his mother of her memories, it also released her anxieties (M)",https://www.nytimes.com/1999/08/15/magazine/lives-the-zen-of-alzheimers.html,"Steve Gettinger Lives column on death of his mother to Alzheimer's disease; says her regression into the disease had some subtle rewards, enabling her to go back into infancy and find pleasure in little things; says that while disease robbed his m...","Mom died of Alzheimer's yesterday. As I sat by her hospital bed, watching her body slowly lose its color, a blasphemous thought struck me: in many ways, her disease had been a blessing. ",6,68,The New York Times,[],"[{'name': 'persons', 'value': 'Gettinger, Steve', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}]",1999-08-15T05:00:00+0000,article,Magazine Desk,Magazine,News,nyt://article/030ba031-078a-5135-9482-e2cd5e080513,871,nyt://article/030ba031-078a-5135-9482-e2cd5e080513,Lives; The Zen of Alzheimer's,,,Lives; The Zen of Alzheimer's,,,,By Steve Gettinger,"[{'firstname': 'Steve', 'middlename': None, 'lastname': 'Gettinger', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
"Castle Senior Living is opening 62-apartment rental building on Manhattan's East Side for people with Alzheimer's disease and other memory disorders; it will provide meals, social activities, housekeeping and personal and medical care in addition to housing (S)",https://www.nytimes.com/1999/08/15/realestate/postings-62-apartments-on-east-80th-street-a-residence-for-alzheimer-s.html,"Castle Senior Living is opening 62-apartment rental building on Manhattan's East Side for people with Alzheimer's disease and other memory disorders; it will provide meals, social activities, housekeeping and personal and medical care in addition ...","Applications will be accepted starting this week at the 80th Street Residence, a 62-apartment rental building at 430 East 80th Street for people with Alzheimer's disease and other memory disorders.",11,1,The New York Times,[],"[{'name': 'organizations', 'value': 'Castle Senior Living Llc', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}]",1999-08-15T05:00:00+0000,article,Real Estate Desk,Real Estate,News,nyt://article/1502642d-b25a-5e55-8c94-3cf28e60d5aa,224,nyt://article/1502642d-b25a-5e55-8c94-3cf28e60d5aa,A Residence For Alzheimer's,POSTINGS: 62 APARTMENTS ON EAST 80TH STREET,,POSTINGS: 62 APARTMENTS ON EAST 80TH STREET; A Residence For Alzheimer's,,,,,[],,Alzheimer,
"Elan Pharmaceuticals researchers have developed vaccine that has proved highly effective in both preventing and reversing in mice one of primary brain abnormalities associated with Alzheimer's disease, deposits of amyloid plaques; study, reported in journal Nature, is being hailed as landmark achievement; Elan and Alzheimer's Association set up toll-free numbers to handle expected flood of calls (M)",https://www.nytimes.com/1999/07/08/us/vaccine-in-mice-offers-hope-in-fight-against-alzheimer-s.html,"Elan Pharmaceuticals researchers have developed vaccine that has proved highly effective in both preventing and reversing in mice one of primary brain abnormalities associated with Alzheimer's disease, deposits of amyloid plaques; study, reported ...",Scientists working with mice have developed a vaccine that has proved highly effective in both preventing and reversing one of the primary brain abnormalities associated with Alzheimer's disease.,A,20,The New York Times,[],"[{'name': 'organizations', 'value': 'Elan Pharmaceuticals', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Nature', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': ""ALZHEIMER'S ASSOCIATION"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Brain', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Telephones and Telecommunications', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Mice', 'rank': 9, 'major': 'N'}]",1999-07-08T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/57438e6e-395c-57f2-b793-599af1edcf18,1068,nyt://article/57438e6e-395c-57f2-b793-599af1edcf18,Vaccine in Mice Offers Hope In Fight Against Alzheimer's,,,Vaccine in Mice Offers Hope In Fight Against Alzheimer's,,,,By Lawrence M. Fisher,"[{'firstname': 'Lawrence', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
"Activities at Memory Lane Club, adult day care program for people with Alzheimer's disease in Port Washington, NY, described; photo (M)",https://www.nytimes.com/1999/03/28/nyregion/breaking-barriers-of-alzheimer-s.html,"Activities at Memory Lane Club, adult day care program for people with Alzheimer's disease in Port Washington, NY, described; photo (M)","''LET'S wave,'' Patricia Wong said. ''Come on, Rita, wave. Everybody waves.''",LI,14,The New York Times,[],"[{'name': 'glocations', 'value': 'Port Washington (NY)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}]",1999-03-28T05:00:00+0000,article,Long Island Weekly Desk,New York,News,nyt://article/feddf4bd-6403-5cbe-8a00-9ac5a971bf1b,700,nyt://article/feddf4bd-6403-5cbe-8a00-9ac5a971bf1b,Breaking Barriers of Alzheimer's,,,Breaking Barriers of Alzheimer's,,,,By Linda Saslow,"[{'firstname': 'Linda', 'middlename': None, 'lastname': 'Saslow', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
"Dr Henry M Wisniewski, Alzheimer's disease researcher and director of New York State Institute for Basic Research in Developmental Disabilities, dies at age 68 (M)",https://www.nytimes.com/1999/09/20/us/henry-m-wisniewski-68-a-leader-in-alzheimer-s-research.html,"Dr Henry M Wisniewski, Alzheimer's disease researcher and director of New York State Institute for Basic Research in Developmental Disabilities, dies at age 68 (M)","Dr. Henry M. Wisniewski, an Alzheimer's disease researcher and the director of the New York State Institute for Basic Research in Developmental Disabilities, died on Sept. 5 at his home on Staten Island. He was 68.",A,15,The New York Times,[],"[{'name': 'persons', 'value': 'Wisniewski, Henry M', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Biographical Information', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 3, 'major': 'N'}]",1999-09-20T05:00:00+0000,article,National Desk,U.S.,Obituary; Biography,nyt://article/83b00762-366e-5260-9f0a-2ba518ed1d80,341,nyt://article/83b00762-366e-5260-9f0a-2ba518ed1d80,"Henry M. Wisniewski, 68, a Leader in Alzheimer's Research",,,"Henry M. Wisniewski, 68, a Leader in Alzheimer's Research",,,,By Nick Ravo,"[{'firstname': 'Nick', 'middlename': None, 'lastname': 'Ravo', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
