abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,query_consulta,subsection_name
"HERSHEY-Philip. Age 85. Husband of the late Faye, father of Nancy Lord and Edward Hershey, grandfather of Rebecca Hershey and Jonathan and Alexander Lord. Longtime executive New York State Department of Labor; Adjunct Professor of Mathematics, City University of New York; Honored volunteer in myriad programs in Broward County, Florida. If you are so inclined please contribute to Silberstein Aging and Dementia Research Center at New York University Medical Center in his memory. Graveside services, Monday 1:45 PM at Mt. Hebron Cemetery, Flushing, New York.",https://www.nytimes.com/1998/12/24/classified/paid-notice-deaths-hershey-philip.html,,"HERSHEY-Philip. Age 85. Husband of the late Faye, father of Nancy Lord and Edward Hershey, grandfather of Rebecca Hershey and Jonathan and Alexander Lord. Longtime executive New York State Department of Labor; Adjunct Professor of Mathematics, City University of New York; Honored volunteer in myriad programs in Broward County, Florida. If you are so inclined please contribute to Silberstein Aging and Dementia Research Center at New York University Medical Center in his memory. Graveside services, Monday 1:45 PM at Mt. Hebron Cemetery, Flushing, New York.",A,17,The New York Times,[],"[{'name': 'persons', 'value': 'Hershey, Philip', 'rank': 1, 'major': 'N'}]",1998-12-24T05:00:00+0000,article,Classified,Archives,Paid Death Notice,nyt://article/36e4e83b-c2c2-5786-9214-7cf64d85129c,85,nyt://article/36e4e83b-c2c2-5786-9214-7cf64d85129c,"Paid Notice: Deaths  HERSHEY, PHILIP",,,"Paid Notice: Deaths  HERSHEY, PHILIP",,,,,[],,dementia,
"PORT-Jeffrey David. 38, of Boca Raton, FL, formerly of Woodbury, NY, died January 3, 1998 of Aids Dementia Complex. Beloved son of Nathaniel and Rose Port; loving brother of Dr. Michael and Jacqueline Port. Devoted uncle of William, Lindsey, Allison and Tyler. In lieu of flowers, family requests donations to be made in his name to ''A.M.F.A.R.'', American Foundation for Aids Research in New York City. Services will be held 2:15 PM, January 5, 1998 at Star of David Memorial Chapel & Cemetery, North Lauderdale, FL.",https://www.nytimes.com/1998/01/05/classified/paid-notice-deaths-port-jeffrey-david.html,,"PORT-Jeffrey David. 38, of Boca Raton, FL, formerly of Woodbury, NY, died January 3, 1998 of Aids Dementia Complex. Beloved son of Nathaniel and Rose Port; loving brother of Dr. Michael and Jacqueline Port. Devoted uncle of William, Lindsey, Allison and Tyler. In lieu of flowers, family requests donations to be made in his name to ''A.M.F.A.R.'', American Foundation for Aids Research in New York City. Services will be held 2:15 PM, January 5, 1998 at Star of David Memorial Chapel & Cemetery, North Lauderdale, FL.",B,7,The New York Times,[],"[{'name': 'persons', 'value': 'Port, Jeffrey David', 'rank': 1, 'major': 'N'}]",1998-01-05T05:00:00+0000,article,Classified,Archives,Paid Death Notice,nyt://article/5a8d7ca2-bee1-5943-bc66-0a89a2679311,86,nyt://article/5a8d7ca2-bee1-5943-bc66-0a89a2679311,"Paid Notice: Deaths  PORT, JEFFREY DAVID",,,"Paid Notice: Deaths  PORT, JEFFREY DAVID",,,,,[],,dementia,
"SILBERSTEIN-Sylvia, philanthropist, talented artist, and dedicated wife, mother, grandmother and friend, passed away Thursday, Dec. 17, 1998. Born in Hammond, Indiana on December 2, 1915, to Samuel & Jennie Kleinberg Levin, Sylvia was an alumni of Indiana University where she met her husband and fellow alumni William Silberstein. They subsequently married in 1937, and lived in Hammond until 1950. She and her family moved to Scarsdale in 1950 and to Rye, New York in 1968. Sylvia will be most remembered for her great sense of humor, buoyant spirit and constant smile. Her charm was contagious and she was adored by her many friends. Sylvia was noted for her culinary expertise, her love of classical music, the theater, tennis & was often consulted for her vast knowledge of travel due to her extensive world travel. Sylvia was a longstanding member of the Quaker Ridge Golf Club since 1955. She possessed sound business acumen and helped her husband found Sealectro Corporation in Mamaroneck, New York. She was also very active in the creation of various philanthropic programs. In 1984, Sylvia and her husband established the first fully endowed athletic scholarship at Indiana University and thereafter two additonal endowed athletic scholarships. Their other philanthropic endeavors include the William & Sylvia Silberstein Aging and Dementia Research Center at New York University Medical Center, the William & Sylvia Silberstein Cardiac Center at White Plains Hospital Center, and most recently, the William and Sylvia Silberstein Pavilion at White Plains Hospital Center. Sylvia supported many other charities including Cystic Fibrosis and U.J.A. amongst others. Her generous philosophy was apparent during World War II when she was President of Hammond, Indiana chapter of B'nai B'rith and she established a welcoming committee for all servicemen's trains providing food and other nourishment to them. Sylvia is survived by her husand, William of Rye, New York, her daughter Betsy Levinson of Stamford, Connecticut; her son Bruce and his wife, Carolyn, of New York City; her son, Sigmund of Boca Raton, Florida, and six loving grandchildren, Beth, Lori and Debra, Jill, Michael and Matthew; and a sister, Arlene Pascal of Highland Park, Illinois. Contributions in her memory may be made to the Silberstein Cardiac Center at White Plains Hospital Center, or The Silberstein Aging and Dementia Center at New York University Medical Center. A service will be held at 12:00 Noon on Friday, December 18th, at the Congregation Emanu-el, 2125 Westchester Avenue East, Rye, New York.     The faculty and staff of New York University School of Medicine offer our deepest condolences to the family of Sylvia Silberstein, philanthropist, talented artist, and dedicated wife, mother and grandmother. She and her husband, William Silberstein, have been long-term, major benefactors of NYU School of Medicine and their generosity has extended to many other institutions. In recognition of their philanthropy, the William & Sylvia Silberstein Aging and Dementia Research Center at NYU carries their name. Robert M. Glickman, MD Dean, NYU School of Medicine Robert Cancro, MD Lucius N. Littauer Professor of Psychiatry and Chairman, Dept. of Psychiatry Steven H. Ferris, PhD. Director William & Sylvia Silberstein Aging and Dementia Research Center     The Board of Directors and Members of the Quaker Ridge Golf Club record with deep sorrow the passing of our esteemed member, Sylvia Silberstein, whose many years of friendship and devotion to the Club will always be remembered. We extend our deepest sympathy to the family. Richard M. Feldman, President Edward J. Landau, Secretary",https://www.nytimes.com/1998/12/18/classified/paid-notice-deaths-silberstein-sylvia.html,,"SILBERSTEIN-Sylvia, philanthropist, talented artist, and dedicated wife, mother, grandmother and friend, passed away Thursday, Dec. 17, 1998. Born in Hammond, Indiana on December 2, 1915, to Samuel & Jennie Kleinberg Levin, Sylvia was an alumni of Indiana University where she met her husband and fellow alumni William Silberstein. They subsequently married in 1937, and lived in Hammond until 1950. She and her family moved to Scarsdale in 1950 and to Rye, New York in 1968. Sylvia will be most remembered for her great sense of humor, buoyant spirit and constant smile. Her charm was contagious and she was adored by her many friends. Sylvia was noted for her culinary expertise, her love of classical music, the theater, tennis & was often consulted for her vast knowledge of travel due to her extensive world travel. Sylvia was a longstanding member of the Quaker Ridge Golf Club since 1955. She possessed sound business acumen and helped her husband found Sealectro Corporation in Mamaroneck, New York. She was also very active in the creation of various philanthropic programs. In 1984, Sylvia and her husband established the first fully endowed athletic scholarship at Indiana University and thereafter two additonal endowed athletic scholarships. Their other philanthropic endeavors include the William & Sylvia Silberstein Aging and Dementia Research Center at New York University Medical Center, the William & Sylvia Silberstein Cardiac Center at White Plains Hospital Center, and most recently, the William and Sylvia Silberstein Pavilion at White Plains Hospital Center. Sylvia supported many other charities including Cystic Fibrosis and U.J.A. amongst others. Her generous philosophy was apparent during World War II when she was President of Hammond, Indiana chapter of B'nai B'rith and she established a welcoming committee for all servicemen's trains providing food and other nourishment to them. Sylvia is survived by her husand, William of Rye, New York, her daughter Betsy Levinson of Stamford, Connecticut; her son Bruce and his wife, Carolyn, of New York City; her son, Sigmund of Boca Raton, Florida, and six loving grandchildren, Beth, Lori and Debra, Jill, Michael and Matthew; and a sister, Arlene Pascal of Highland Park, Illinois. Contributions in her memory may be made to the Silberstein Cardiac Center at White Plains Hospital Center, or The Silberstein Aging and Dementia Center at New York University Medical Center. A service will be held at 12:00 Noon on Friday, December 18th, at the Congregation Emanu-el, 2125 Westchester Avenue East, Rye, New York.",B,15,The New York Times,[],"[{'name': 'persons', 'value': 'Silberstein, Sylvia', 'rank': 1, 'major': 'N'}]",1998-12-18T05:00:00+0000,article,Classified,Archives,Paid Death Notice,nyt://article/73e2b833-b8e7-5265-b025-f16b5e80b913,568,nyt://article/73e2b833-b8e7-5265-b025-f16b5e80b913,"Paid Notice: Deaths  SILBERSTEIN, SYLVIA",,,"Paid Notice: Deaths  SILBERSTEIN, SYLVIA",,,,,[],,dementia,
"William Green, patient at Coler-Goldwater Memorial Hospital in New York City, is charged with sexually molesting two comatose women; Green, who suffers from dementia, has record of 44 arrests dating to 1958, and was arrested this month in sexual abuse incident (S)",https://www.nytimes.com/1998/10/18/nyregion/patient-arrested-in-molestation-at-hospital.html,"William Green, patient at Coler-Goldwater Memorial Hospital in New York City, is charged with sexually molesting two comatose women; Green, who suffers from dementia, has record of 44 arrests dating to 1958, and was arrested this month in sexual a...",A 57-year-old patient at a city hospital on Roosevelt Island was arrested Friday night and accused of sexually molesting two comatose women in their beds.,1,45,The New York Times,[],"[{'name': 'glocations', 'value': 'New York City', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'COLER-GOLDWATER MEMORIAL HOSPITAL', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'GREEN, WILLIAM', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Sex Crimes', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Coma', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Mental Health and Disorders', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Hospitals', 'rank': 7, 'major': 'N'}]",1998-10-18T05:00:00+0000,article,Metropolitan Desk,New York,News,nyt://article/d370429c-213b-5e9b-8345-998f86ea6b0b,219,nyt://article/d370429c-213b-5e9b-8345-998f86ea6b0b,Patient Arrested in Molestation at Hospital,,,Patient Arrested in Molestation at Hospital,,,,By Kit R. Roane,"[{'firstname': 'Kit', 'middlename': 'R.', 'lastname': 'Roane', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia,
"Lauda Chamber Singers director Charles Walker comments on upcoming premiere of work by Michael Hegeman in concert at St Michael's Church, Gibbstown, NJ; describes his varied musical interests; photos (M)",https://www.nytimes.com/1998/05/31/nyregion/music-the-reverent-and-the-less-so.html,"Lauda Chamber Singers director Charles Walker comments on upcoming premiere of work by Michael Hegeman in concert at St Michael's Church, Gibbstown, NJ; describes his varied musical interests; photos (M)","LAUDA CHAMBER SINGERS, a 45-voice chorus directed by Charles Walker, plans to introduce a new piece at its concert next Sunday. ''Three Solemn Words,'' composed for Passion Week by Michael Hegeman, a doctoral candidate at Princeton Theological Seminary, is to have its premiere in the elegant company of Tallis, Elgar and Palestrina, among others.",NJ,14,The New York Times,[],"[{'name': 'organizations', 'value': 'Lauda Chamber Singers', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Hegeman, Michael', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Walker, Charles', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Music', 'rank': 4, 'major': 'N'}]",1998-05-31T05:00:00+0000,article,New Jersey Weekly Desk,New York,News,nyt://article/fdd0c611-9857-5b7f-812a-7034c5a1c4cc,511,nyt://article/fdd0c611-9857-5b7f-812a-7034c5a1c4cc,The Reverent And the Less So,MUSIC,,MUSIC; The Reverent And the Less So,,,,By Leslie Kandell,"[{'firstname': 'Leslie', 'middlename': None, 'lastname': 'Kandell', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia,
"Nymox Pharmaceutical Corp, Rockville, Md, has run into problems in its efforts to market its test to help doctors rule out Alzheimer's disease in diagnosing their patients; like many other biotechnology companies that are overdependent on single product, Nymox tried to produce some quick sales through newspaper and magazine advertising, but encountered more trouble than it expected; advertising riled the Alzheimer's Association and several neurologists, who maintained test was being marketed directly to consumers without independent verification that it worked; neurologists also reported that some people who feared they had the diseased rushed to their doctors' offices expecting test to ease their fears; Nymox test, if reliable, could bring big advantages in early detection Nymox president, Dr Paul Averback, responds to criticism about advertising of test; photos; graph on number of people reported to have died each year from Alzheimer's; chart on some methods of detection and treatment of the disease (L)",https://www.nytimes.com/1998/03/05/business/stumble-road-market-haste-makes-problems-for-creator-alzheimer-s-test.html,"Nymox Pharmaceutical Corp, Rockville, Md, has run into problems in its efforts to market its test to help doctors rule out Alzheimer's disease in diagnosing their patients; like many other biotechnology companies that are overdependent on single p...","For the last two years, a small Maryland company has been holding out hope that its simple test can help doctors rule out Alzheimer's disease in their patients.",D,1,The New York Times,[],"[{'name': 'organizations', 'value': 'NYMOX PHARMACEUTICAL CORP', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': ""ALZHEIMER'S ASSOCIATION"", 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Averback, Paul', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'COMPANY AND ORGANIZATION PROFILES', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'ADVERTISING', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Tests and Testing', 'rank': 7, 'major': 'N'}]",1998-03-05T05:00:00+0000,article,Business/Financial Desk,Business Day,News,nyt://article/0a2c8472-22ad-5e9d-9d4f-f1961f785324,1567,nyt://article/0a2c8472-22ad-5e9d-9d4f-f1961f785324,Stumble on the Road to Market; Haste Makes Problems for Creator of Alzheimer's Test,,,Stumble on the Road to Market; Haste Makes Problems for Creator of Alzheimer's Test,,,,By David J. Morrow,"[{'firstname': 'David', 'middlename': 'J.', 'lastname': 'Morrow', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia,
"Hebrew Home for Aged in Riverdale section of Bronx offers unusual program that keeps Alzheimer's patients occupied at night while relatives who care for them get rest; because Alzheimer's is degenerative brain disease that leads to dementia, many patients confuse day and night, and experts say sleep deprivation among those who care for ill is one of leading reasons that patients are institutionalized; photo (M)",https://www.nytimes.com/1998/07/27/nyregion/good-nights-for-alzheimer-s-patients-and-helpers.html,"Hebrew Home for Aged in Riverdale section of Bronx offers unusual program that keeps Alzheimer's patients occupied at night while relatives who care for them get rest; because Alzheimer's is degenerative brain disease that leads to dementia, many ...","Lucille first noticed that her husband, Sonny, was slipping when he wrote checks. He would fill in the amount on the line for the date, and vice versa. But he did not want her to see him do it. And he denied that anything was wrong.",B,4,The New York Times,[],"[{'name': 'organizations', 'value': 'Hebrew Home for the Aged', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Sleep', 'rank': 3, 'major': 'N'}]",1998-07-27T05:00:00+0000,article,Metropolitan Desk,New York,News,nyt://article/bff1c885-3516-5ddc-b723-0f80b5d3a7aa,1025,nyt://article/bff1c885-3516-5ddc-b723-0f80b5d3a7aa,Good Nights for Alzheimer's Patients and Helpers,,,Good Nights for Alzheimer's Patients and Helpers,,,,By Tom Brady,"[{'firstname': 'Tom', 'middlename': None, 'lastname': 'Brady', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia,
"Profile of Janet Walsh, founder of Long Island Alzheimer's Foundation, whose father and other relatives had disease; genetic testing shows Walsh has high chance of getting Alzheimer's; photo (M)",https://www.nytimes.com/1998/05/03/nyregion/alzheimer-s-gene-test-facing-the-answers.html,"Profile of Janet Walsh, founder of Long Island Alzheimer's Foundation, whose father and other relatives had disease; genetic testing shows Walsh has high chance of getting Alzheimer's; photo (M)","WHEN Janet Walsh was 14 her father began showing signs of dementia. Four years later, at 62, he was given a diagnosis of Alzheimer's disease, considered a ''rare'' brain disorder in 1975.",LI,14,The New York Times,[],"[{'name': 'persons', 'value': 'Walsh, Janet', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Genetics and Heredity', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Tests and Testing', 'rank': 4, 'major': 'N'}]",1998-05-03T05:00:00+0000,article,Long Island Weekly Desk,New York,News,nyt://article/cc67f04a-6459-5f67-867d-30612588fc0d,696,nyt://article/cc67f04a-6459-5f67-867d-30612588fc0d,Alzheimer's Gene Test: Facing the Answers,,,Alzheimer's Gene Test: Facing the Answers,,,,By Linda Saslow,"[{'firstname': 'Linda', 'middlename': None, 'lastname': 'Saslow', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia,
"Jane E Brody Personal Health column on depression among older people, noting it is often unrecognized and untreated problem that can tarnish golden years for millions of people who might otherwise find joy, not anguish, in their old age; discusses many mistaken beliefs and expectations about depression and aging; list of organizations that can provide help for depression (M)",https://www.nytimes.com/1998/11/03/health/personal-health-keeping-clinical-depression-out-of-the-aging-formula.html,"Jane E Brody Personal Health column on depression among older people, noting it is often unrecognized and untreated problem that can tarnish golden years for millions of people who might otherwise find joy, not anguish, in their old age; discusses...","Depression among older people is an often unrecognized and untreated problem that can tarnish the golden years for millions of people who might otherwise find joy, not anguish, in their old age. That includes older people in nursing homes as well as those living independently. Experts estimate that as many as 90 percent of depressed elderly Americans are not being treated.",F,7,The New York Times,[],"[{'name': 'subject', 'value': 'AGED', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Mental Health and Disorders', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Depression (Mental)', 'rank': 3, 'major': 'N'}, {'name': 'creative_works', 'value': 'PERSONAL HEALTH (TIMES COLUMN)', 'rank': 4, 'major': 'N'}]",1998-11-03T05:00:00+0000,article,Health & Fitness,Health,News,nyt://article/f80f855d-4f71-503b-92a3-4c4d796a8fe0,1157,nyt://article/f80f855d-4f71-503b-92a3-4c4d796a8fe0,Keeping Clinical Depression Out of the Aging Formula,PERSONAL HEALTH,,PERSONAL HEALTH; Keeping Clinical Depression Out of the Aging Formula,,,,By Jane E. Brody,"[{'firstname': 'Jane', 'middlename': 'E.', 'lastname': 'Brody', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia,
New study at Yale University shows that decline in ability to perform everyday tasks like bathing or dressing is not inevitable part of aging (M),https://www.nytimes.com/1998/02/03/science/study-upbeat-on-resilience-of-elderly.html,New study at Yale University shows that decline in ability to perform everyday tasks like bathing or dressing is not inevitable part of aging (M),"LOSING the ability to perform everyday tasks like bathing or dressing without help has long been seen as a landmark in an elderly person's life, the beginning of a decline toward dependence on others or a move to a nursing home. But a new study shows that such a decline is not inevitable.",F,8,The New York Times,[],"[{'name': 'organizations', 'value': 'Yale University', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'AGED', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}]",1998-02-03T05:00:00+0000,article,Science Desk,Science,News,nyt://article/f8c51ebe-d7d8-5d3f-bfc2-5867cb2bb886,598,nyt://article/f8c51ebe-d7d8-5d3f-bfc2-5867cb2bb886,Study Upbeat on Resilience of Elderly,,,Study Upbeat on Resilience of Elderly,,,,By Susan Gilbert,"[{'firstname': 'Susan', 'middlename': None, 'lastname': 'Gilbert', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia,
