abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,print_section,print_page,subsection_name,query_consulta
"Everybody talks about caregiver burnout, how you have to make time for yourself or you won’t be able to go on. But nobody talks about how burnout creeps up on you, how it starts to happen before you even realize it.",https://newoldage.blogs.nytimes.com/2011/12/09/broken-briefly/,"Everybody talks about caregiver burnout, how you have to make time for yourself or you won’t be able to go on. But nobody talks about how burnout creeps up on you, how it starts to happen before you even realize it.","It was time to stop working, to emerge from my home office into Mom’s world, and I was really frustrated. ",The New York Times,[],"[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 2, 'major': 'N'}]",2011-12-09T20:03:35+0000,article,,Health,News,nyt://article/1d3f2b6a-637f-56db-8b40-91cbdf89fac9,1355,nyt://article/1d3f2b6a-637f-56db-8b40-91cbdf89fac9,"Broken, Briefly",The New Old Age,,,,,,By Celia Watson Seupel,"[{'firstname': 'Celia', 'middlename': 'Watson', 'lastname': 'Seupel', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,dementia
"Gary Bettman, the N.H.L. commissioner, defended the physical nature of professional hockey and cautioned against connecting any dots between the brain disease C.T.E. and fighting.",https://www.nytimes.com/2011/12/07/sports/hockey/nhls-bettman-says-the-fans-like-the-level-of-physicality.html,"Gary Bettman, the N.H.L. commissioner, defended the physical nature of professional hockey and cautioned against connecting any dots between the brain disease C.T.E. and fighting.","PEBBLE BEACH, Calif. — The N.H.L. board of directors met for three and a half hours Tuesday and never broached the subject of fighting, Commissioner Gary Bettman said. Fighting is an aspect of the game that has come under scrutiny by others in the wake of the recent deaths of three of the game’s enforcers.",The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/07/sports/YREACT/YREACT-jumbo.jpg', 'height': 1024, 'width': 737, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/07/sports/YREACT/YREACT-popup.jpg', 'height': 500, 'width': 360, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/07/sports/YREACT/YREACT-articleInline.jpg', 'height': 264, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/07/sports/YREACT/YREACT-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2011/12/07/sports/YREACT/YREACT-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Hockey, Ice', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Boogaard, Derek', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'National Hockey League', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Fatalities)', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Bettman, Gary', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Sports Injuries', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Chronic Traumatic Encephalopathy', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Brain', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 9, 'major': 'N'}]",2011-12-07T02:45:44+0000,article,Sports,Sports,News,nyt://article/4f318265-e64b-5ef0-9859-eff45742e175,737,nyt://article/4f318265-e64b-5ef0-9859-eff45742e175,Bettman: Fans ‘Like the Level of Physicality’,,,Bettman: Fans ‘Like the Level of Physicality’,,,,By Karen Crouse,"[{'firstname': 'Karen', 'middlename': None, 'lastname': 'Crouse', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,B,13,Hockey,dementia
Dr. Robert Stern of Boston University responds to readers of the “Punched Out” series in The Times.,https://slapshot.blogs.nytimes.com/2011/12/06/boston-university-doctor-answers-questions-from-readers/,Dr. Robert Stern of Boston University responds to readers of the “Punched Out” series in The Times.,"Dr. Robert A. Stern, a neuropsychologist and a co-director for the Center for the Study of Traumatic Encephalopathy, is answering questions Tuesday afternoon about C.T.E. and John Branch’s series “Punched Out.”",The New York Times,[],"[{'name': 'subject', 'value': 'Brain', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Concussions', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Football', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Hockey, Ice', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Schwarz, Alan', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'Boston University', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'National Football League', 'rank': 8, 'major': 'N'}, {'name': 'organizations', 'value': 'National Hockey League', 'rank': 9, 'major': 'N'}, {'name': 'organizations', 'value': 'National Institutes of Health', 'rank': 10, 'major': 'N'}, {'name': 'organizations', 'value': 'New York Times', 'rank': 11, 'major': 'N'}]",2011-12-06T17:32:12+0000,article,,Sports,News,nyt://article/5037ce9f-2244-5121-bee1-921f01393835,2129,nyt://article/5037ce9f-2244-5121-bee1-921f01393835,Boston University Doctor Answers Questions from Readers,Slap Shot,,,,,,By The New York Times,[],The New York Times,,,Hockey,dementia
"In a darkened theater, a reminder that the indignities and conflicts of old age have been with us for centuries.",https://newoldage.blogs.nytimes.com/2011/12/01/sharper-than-a-serpents-tooth/,"In a darkened theater, a reminder that the indignities and conflicts of old age have been with us for centuries.",King Lear has problems with executive function.,The New York Times,[],"[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 2, 'major': 'N'}]",2011-12-01T17:03:40+0000,article,,Health,News,nyt://article/e75d86ff-0f1f-535f-bd25-ee748c952444,471,nyt://article/e75d86ff-0f1f-535f-bd25-ee748c952444,Sharper Than a Serpent’s Tooth,The New Old Age,,,,,,By Paula Span,"[{'firstname': 'Paula', 'middlename': None, 'lastname': 'Span', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,dementia
Researchers initiate an effort to understand how patients cope after learning they have cognitive problems.,https://newoldage.blogs.nytimes.com/2011/11/23/its-mild-cognitive-impairment-now-what/,Researchers initiate an effort to understand how patients cope after learning they have cognitive problems.,"How would you react to a diagnosis of mild cognitive impairment — memory problems that allow you to continue normal daily activities, but presage an increased likelihood of developing Alzheimer’s disease within a few years?",The New York Times,[],"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 3, 'major': 'N'}]",2011-11-23T17:18:37+0000,article,,Health,News,nyt://article/47492a2d-74a5-5687-8b8b-443a39c9ee8d,580,nyt://article/47492a2d-74a5-5687-8b8b-443a39c9ee8d,It’s Mild Cognitive Impairment. Now What?,The New Old Age,,,,,,By Paula Span,"[{'firstname': 'Paula', 'middlename': None, 'lastname': 'Span', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,dementia
Some simple steps to help elderly patients avoid hospital delirium.,https://newoldage.blogs.nytimes.com/2011/11/11/preventing-hospital-delirium/,Some simple steps to help elderly patients avoid hospital delirium.,My family and I watched my mother suddenly descend into delirium during her hospital stay after surgery. I can assure you that anyone who has seen somebody lose her mind within a matter of hours — even if she comes back from the dark side — doesn’t ever want to see it happen again.,The New York Times,[],"[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Hospitals', 'rank': 3, 'major': 'N'}]",2011-11-11T21:09:24+0000,article,,Health,News,nyt://article/49ff0549-8d9d-5d30-949e-e255b9bd5fc6,1078,nyt://article/49ff0549-8d9d-5d30-949e-e255b9bd5fc6,Preventing Hospital Delirium,The New Old Age,,,,,,By Susan Seliger,"[{'firstname': 'Susan', 'middlename': None, 'lastname': 'Seliger', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,dementia
"Many members of the middle class have to look after their disabled relatives themselves, or pay someone to do it.",https://www.nytimes.com/2011/10/25/health/25seniors.html,"Many members of the middle class have to look after their disabled relatives themselves, or pay someone to do it.","WASHINGTON — The law that many Americans had hoped would transform the nation’s dysfunctional system of long-term care for the swelling ranks of people with disabilities and dementia quietly died this month, a victim of its own weaknesses, a toxic political environment and President Obama’s re-election campaign focus on jobs.",The New York Times,"[{'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/10/25/science/25JPSENI2/25JPSENI2-blog480.jpg', 'height': 366, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/10/25/science/25JPSENI2/25JPSENI2-jumbo.jpg', 'height': 868, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/10/25/science/25JPSENI2/25JPSENI2-popup.jpg', 'height': 551, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/10/25/science/25JPSENI2/25JPSENI2-articleInline.jpg', 'height': 164, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/10/25/science/25JPSENI2/25JPSENI2-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2011/10/25/science/25JPSENI2/25JPSENI2-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Disabilities', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Home Health Care', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Long-Term Care Insurance', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Health Insurance and Managed Care', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Law and Legislation', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 10, 'major': 'N'}]",2011-10-24T22:07:42+0000,article,Science,Health,News Analysis,nyt://article/573ba671-b65d-59de-958e-d1b102f71854,1443,nyt://article/573ba671-b65d-59de-958e-d1b102f71854,Still No Relief in Sight for Long-Term Needs,News Analysis,,Still No Relief in Sight For Long-Term Needs,,,,By Gardiner Harris and Robert Pear,"[{'firstname': 'Gardiner', 'middlename': None, 'lastname': 'Harris', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Robert', 'middlename': None, 'lastname': 'Pear', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",,D,1,,dementia
The judge in the case of Liliane Bettencourt based her decision on a medical evaluation that indicated the heiress suffers from dementia and Alzheimer's disease.,https://www.nytimes.com/2011/10/18/world/europe/french-court-puts-loreal-heiress-under-guardianship.html,The judge in the case of Liliane Bettencourt based her decision on a medical evaluation that indicated the heiress suffers from dementia and Alzheimer's disease.,"Liliane Bettencourt, the aging heiress of the L’Oréal cosmetics fortune, was placed under the care of a legal guardian Monday by a judge, who based the decision on a medical evaluation that indicated she suffers from dementia and Alzheimer’s disease.",The New York Times,[],"[{'name': 'glocations', 'value': 'France', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bettencourt, Liliane', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': ""L'Oreal SA"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Decisions and Verdicts', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 6, 'major': 'N'}]",2011-10-17T19:34:04+0000,article,Foreign,World,News,nyt://article/87acc3f6-23b9-5561-a40e-db2ddf592a2c,630,nyt://article/87acc3f6-23b9-5561-a40e-db2ddf592a2c,French Court Puts L'Oréal Heiress Under Guardianship,World Briefing | Europe,,France: Heiress Loses Control of Fortune,,,,By Doreen Carvajal,"[{'firstname': 'Doreen', 'middlename': None, 'lastname': 'Carvajal', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,9,Europe,dementia
A shoe with a hidden G.P.S. device may help caregivers find wandering family members.,https://newoldage.blogs.nytimes.com/2011/10/14/a-shoe-for-wanderers/,A shoe with a hidden G.P.S. device may help caregivers find wandering family members.,"I hear from lots of publicists touting technology products that supposedly help older adults, and I ignore most of the gizmos they’re promoting. Without a skilled and unbiased Consumer Reports-type lab to test these inventions — and could someone please create one soon? — it’s too hard to tell which actually work well.",The New York Times,[],"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 3, 'major': 'N'}]",2011-10-14T16:59:37+0000,article,,Health,News,nyt://article/dac08bf4-48d7-56cd-9f97-40a0c6e05921,599,nyt://article/dac08bf4-48d7-56cd-9f97-40a0c6e05921,A Shoe for Wanderers,The New Old Age,,,,,,By Paula Span,"[{'firstname': 'Paula', 'middlename': None, 'lastname': 'Span', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,dementia
"Rick Martin, the left wing on the Sabres’ French Connection line, had chronic traumatic encephalopathy when he died last March of a heart attack at age 59.",https://www.nytimes.com/2011/10/06/sports/hockey/rick-martin-had-disease-related-to-brain-trauma.html,"Rick Martin, the left wing on the Sabres’ French Connection line, had chronic traumatic encephalopathy when he died last March of a heart attack at age 59.","Rick Martin, the former N.H.L. star, had chronic traumatic encephalopathy, a neurodegenerative disease linked to repeated brain trauma, when he died last March of a heart attack at age 59.",The New York Times,[],"[{'name': 'subject', 'value': 'Hockey, Ice', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Concussions', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'National Hockey League', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Brain', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Martin, Rick L', 'rank': 6, 'major': 'N'}]",2011-10-06T01:21:48+0000,article,Sports,Sports,News,nyt://article/a1821bb1-84ab-5c19-9c60-0c14bb89b17f,911,nyt://article/a1821bb1-84ab-5c19-9c60-0c14bb89b17f,Former Star Had Disease Linked to Brain Trauma,,,Former Star Had Disease Linked to Brain Trauma,,,,By Jeff Z. Klein,"[{'firstname': 'Jeff', 'middlename': 'Z.', 'lastname': 'Klein', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,B,17,Hockey,dementia
