abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,subsection_name,query_consulta
"WHO would want to know years or decades in advance that he or she had as much as a 90 percent chance of getting Alzheimer's disease, given that there is no cure, treatment or prevention?         The New York City chapter of the Alzheimer's Association asked members whether they would take a genetic test that could make such a prediction and, in survey results being released today, 63 percent of respondents said yes.   ",https://www.nytimes.com/1995/12/13/us/alzheimer-s-group-finds-many-members-want-test-for-risk.html,,"WHO would want to know years or decades in advance that he or she had as much as a 90 percent chance of getting Alzheimer's disease, given that there is no cure, treatment or prevention?",C,13,The New York Times,[],"[{'name': 'organizations', 'value': ""ALZHEIMER'S DISEASE AND RELATED DISORDERS ASSN"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Genetics and Heredity', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Tests and Testing', 'rank': 4, 'major': 'N'}]",1995-12-13T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/66117148-69ef-57bb-afb3-9bd3abf36abd,727,nyt://article/66117148-69ef-57bb-afb3-9bd3abf36abd,Alzheimer's Group Finds Many Members Want Test for Risk,,,Alzheimer's Group Finds Many Members Want Test for Risk,,,,By Susan Gilbert,"[{'firstname': 'Susan', 'middlename': None, 'lastname': 'Gilbert', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,Alzheimer
"LOT THERRIO, a storyteller with a lot of experience in making children laugh  with tales of funny and amusing characters. But Mr. Therrio told a different kind of story recently to about 20 children at the Ferguson Library in Stamford. 

     Mr. Therrio spun the tale of Gramps and his grandson, Zach, and their precious memory box.",https://www.nytimes.com/1995/11/19/nyregion/love-and-memory-the-old-and-the-young.html,"LOT THERRIO, a storyteller with a lot of experience in making children laugh  with tales of funny and amusing characters. But Mr. Therrio told a different kind of story recently to about 20 children at the Ferguson Library in Stamford. 

     Mr. ...","LOT THERRIO, a storyteller with a lot of experience in making children laugh with tales of funny and amusing characters. But Mr. Therrio told a different kind of story recently to about 20 children at the Ferguson Library in Stamford. ",13CN,12,The New York Times,[],"[{'name': 'glocations', 'value': 'Fairfield (Conn)', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'THERRIO, LOT', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Weizel, Richard', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Children and Youth', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Grandparents', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'STORYTELLING', 'rank': 7, 'major': 'N'}]",1995-11-19T05:00:00+0000,article,Connecticut Weekly Desk,New York,News,nyt://article/ca4ea4ad-fd9a-56e6-8803-90c6d3fb0089,1411,nyt://article/ca4ea4ad-fd9a-56e6-8803-90c6d3fb0089,"Love and Memory, the Old and the Young",,,"Love and Memory, the Old and the Young",,,,By Richard Weizel,"[{'firstname': 'Richard', 'middlename': None, 'lastname': 'Weizel', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Connecticut,Alzheimer
"Festive nights support work in Alzheimer's disease and AIDS, and celebrate designers both new and famous.   ",https://www.nytimes.com/1995/11/12/style/evening-hours-for-research-and-for-fashion.html,,"Festive nights support work in Alzheimer's disease and AIDS, and celebrate designers both new and famous.",1,55,The New York Times,[],"[{'name': 'organizations', 'value': ""ALZHEIMER'S DISEASE AND RELATED DISORDERS ASSN"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Parties (Social)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 4, 'major': 'N'}]",1995-11-12T05:00:00+0000,article,Style Desk,Style,News,nyt://article/593caf76-8fb3-5cc6-83d6-bcac149081c8,16,nyt://article/593caf76-8fb3-5cc6-83d6-bcac149081c8,EVENING HOURS;For Research and for Fashion,EVENING HOURS,,EVENING HOURS;For Research and for Fashion,,,,,[],,,Alzheimer
"  Two months ago, Kathleen Clayton went to the University of Pennsylvania Medical Center to find out what to do about her alarmingly high cholesterol levels. She found out something that alarmed her even more, and stumbled into an ethical and practical dilemma that is so troubling doctors and researchers that 50 of them gathered in Chicago at a closed meeting over the weekend to discuss the problem.    Dr. Daniel Rader, director of the lipid clinic at the medical center, had ordered a blood test that would reveal whether Ms. Clayton, a 51-year-old resident of Perth Amboy, N.J., had inherited a particular susceptibility to heart attacks. The test showed she had two copies of a gene, called apo E4, which increases the risk of heart disease by 30 percent to 50 percent. While Dr. Rader was telling her this, she mentioned that she was having another problem: her memory was failing her. She had forgotten recent events, she said, and one day she was reading her Bible and found herself unable to decipher words. Most frightening of all, she was working on her checkbook and suddenly could not add or subtract.",https://www.nytimes.com/1995/10/24/science/if-tests-hint-alzheimer-s-should-a-patient-be-told.html,,"Two months ago, Kathleen Clayton went to the University of Pennsylvania Medical Center to find out what to do about her alarmingly high cholesterol levels. She found out something that alarmed her even more, and stumbled into an ethical and practical dilemma that is so troubling doctors and researchers that 50 of them gathered in Chicago at a closed meeting over the weekend to discuss the problem.",A,1,The New York Times,[],"[{'name': 'subject', 'value': 'Heart', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Genetics and Heredity', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Ethics', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Tests and Testing', 'rank': 5, 'major': 'N'}]",1995-10-24T05:00:00+0000,article,Science Desk,Science,News,nyt://article/5cfe7113-e067-5884-b730-4a053220ac80,1838,nyt://article/5cfe7113-e067-5884-b730-4a053220ac80,"If Tests Hint Alzheimer's, Should a Patient Be Told?",,,"If Tests Hint Alzheimer's, Should a Patient Be Told?",,,,By Gina Kolata,"[{'firstname': 'Gina', 'middlename': None, 'lastname': 'Kolata', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,Alzheimer
"Researchers have confirmed a correlation between Alzheimer's disease and high levels of a particular protein in an individual's spinal fluid. The discovery, they say, is a tool for early diagnosis.         ""We're on the cusp of having something and it could get better yet,"" said John Trojanowski of the University of Pennsylvania, an author of a study published on Friday in The Annals of Neurology.   ",https://www.nytimes.com/1995/10/08/us/researchers-correlate-protein-with-presence-of-alzheimer-s.html,,"Researchers have confirmed a correlation between Alzheimer's disease and high levels of a particular protein in an individual's spinal fluid. The discovery, they say, is a tool for early diagnosis.",1,28,The New York Times,[],"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'TAU (PROTEIN)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 3, 'major': 'N'}]",1995-10-08T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/a4669c6c-3ee6-509c-b5db-c6b2cc286c39,435,nyt://article/a4669c6c-3ee6-509c-b5db-c6b2cc286c39,Researchers Correlate Protein With Presence of Alzheimer's,,,Researchers Correlate Protein With Presence of Alzheimer's,,,,AP,[],AP,,Alzheimer
"A MONARCH butterfly flutters around the purple, lacy buddleia; chirping birds perch on the branches of a sugar maple. A short distance away, an elderly woman  sits on a teak bench with her daughter who is gazing at dogwood, spirea and the  roses that border a white picket fence. 

     It is the Wander Garden, an 8,000-square-foot courtyard for Alzheimer's patients at the Greenwich Woods Health Care Center in Greenwich. Residents of the 60-bed Alzheimer's wing can open the door and step out into a courtyard of flowers and foliage and wander freely and safely along a walkway lined with foxwood.",https://www.nytimes.com/1995/10/08/nyregion/garden-paths-built-for-elderly-strollers.html,"A MONARCH butterfly flutters around the purple, lacy buddleia; chirping birds perch on the branches of a sugar maple. A short distance away, an elderly woman  sits on a teak bench with her daughter who is gazing at dogwood, spirea and the  roses t...","A MONARCH butterfly flutters around the purple, lacy buddleia; chirping birds perch on the branches of a sugar maple. A short distance away, an elderly woman sits on a teak bench with her daughter who is gazing at dogwood, spirea and the roses that border a white picket fence. ",13CN,4,The New York Times,[],"[{'name': 'glocations', 'value': 'Greenwich (Conn)', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'GREENWICH WOODS HEALTH CARE CENTER', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Gardens and Gardening', 'rank': 4, 'major': 'N'}]",1995-10-08T05:00:00+0000,article,Connecticut Weekly Desk,New York,News,nyt://article/c9dd8ddb-9046-5a7d-b5d4-6a84af08711e,725,nyt://article/c9dd8ddb-9046-5a7d-b5d4-6a84af08711e,Garden Paths Built For Elderly Strollers,,,Garden Paths Built For Elderly Strollers,,,,By Rita Papazian,"[{'firstname': 'Rita', 'middlename': None, 'lastname': 'Papazian', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Connecticut,Alzheimer
"A MONARCH butterfly flutters around the purple, lacy buddleia; chirping birds perch on the branches of a sugar maple. A short distance away, an elderly woman sits on a teak bench with her daughter who is gazing at dogwood, spirea and the roses that border a white picket fence.

It is the Wander Garden, an 8,000-square-foot courtyard for Alzheimer's patients at the Greenwich Woods Health Care Center in Greenwich. Residents of the 60-bed Alzheimer's wing can open the door and step out into a courtyard of flowers and foliage and wander freely and safely along a walkway lined with foxwood.",https://www.nytimes.com/1995/10/08/nyregion/garden-paths-built-for-elderly-strollers.html,"A MONARCH butterfly flutters around the purple, lacy buddleia; chirping birds perch on the branches of a sugar maple. A short distance away, an elderly woman sits on a teak bench with her daughter who is gazing at dogwood, spirea and the roses tha...","A MONARCH butterfly flutters around the purple, lacy buddleia; chirping birds perch on the branches of a sugar maple. A short distance away, an elderly woman sits on a teak bench with her daughter who is gazing at dogwood, spirea and the roses that border a white picket fence.",13CN,4,The New York Times,[],"[{'name': 'glocations', 'value': 'Greenwich (Conn)', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'GREENWICH WOODS HEALTH CARE CENTER', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Gardens and Gardening', 'rank': 4, 'major': 'N'}]",1995-10-08T05:00:00+0000,article,Connecticut Weekly Desk,New York,News,nyt://article/dea125e1-27cb-5a11-b038-ba1745b0d81b,691,nyt://article/dea125e1-27cb-5a11-b038-ba1745b0d81b,Garden Paths Built For Elderly Strollers,,,Garden Paths Built For Elderly Strollers,,,,By Rita Papazian,"[{'firstname': 'Rita', 'middlename': None, 'lastname': 'Papazian', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Connecticut,Alzheimer
"  TO read current claims about melatonin, even people unconcerned about their health might be readily drawn into the swell of Americans who are already taking it nightly. This once-obscure hormone is said by some proponents to reverse the ravages of age, intensify the sex drive and bolster the immune system to ward off cancer, Alzheimer's disease, autism and AIDS.   No longer known only to devotees of nutritional supplements, melatonin is fast becoming today's hottest health topic, thanks to the publicity being given to a stream of new books with titles like ""The Melatonin Miracle"" describing it as a potential panacea and fountain of youth and to an optimistic article last month in Newsweek, emphasizing hopes for melatonin and played down or dismissed skeptical questions.",https://www.nytimes.com/1995/09/27/us/experimental-evidence-is-lacking-for-melatonin-as-cure-all.html,,"TO read current claims about melatonin, even people unconcerned about their health might be readily drawn into the swell of Americans who are already taking it nightly. This once-obscure hormone is said by some proponents to reverse the ravages of age, intensify the sex drive and bolster the immune system to ward off cancer, Alzheimer's disease, autism and AIDS.",C,9,The New York Times,[],"[{'name': 'subject', 'value': 'Autism', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Hormones', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Sex', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Cancer', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS)', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'PINEAL GLAND', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Immune System', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Melatonin (Hormone)', 'rank': 10, 'major': 'N'}, {'name': 'creative_works', 'value': 'HEALTH PAGE (NYT)', 'rank': 11, 'major': 'N'}]",1995-09-27T05:00:00+0000,article,National Desk;,U.S.,News,nyt://article/5623f68f-ec12-559e-8e2c-1d2ce72e64eb,1486,nyt://article/5623f68f-ec12-559e-8e2c-1d2ce72e64eb,Experimental Evidence Is Lacking for Melatonin as Cure-All,,,Experimental Evidence Is Lacking for Melatonin as Cure-All,,,,By Jane E. Brody,"[{'firstname': 'Jane', 'middlename': 'E.', 'lastname': 'Brody', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,Alzheimer
"  Legislation to dismantle the current Medicaid program and turn the money over to the states advanced today on both sides of the Capitol, as Republicans declared that states must be free to design their own health care programs for the poor.   By a vote of 27 to 18, the House Commerce Committee approved legislation to give each state a lump sum of Federal money, known as a block grant, for medical assistance to low-income people. The House bill was made public just three days ago. Senate Republicans offered a similar proposal today and said it would be approved next week by the Senate Finance Committee.",https://www.nytimes.com/1995/09/23/us/medicaid-moves-yet-another-heated-day-closer-to-a-dismantling.html,,"Legislation to dismantle the current Medicaid program and turn the money over to the states advanced today on both sides of the Capitol, as Republicans declared that states must be free to design their own health care programs for the poor.",1,8,The New York Times,[],"[{'name': 'glocations', 'value': 'United States', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Pear, Robert', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'States (US)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'BREAST', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Children and Youth', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Medicaid', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Cancer', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'AGED', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Women', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'Law and Legislation', 'rank': 11, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 12, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 13, 'major': 'N'}, {'name': 'subject', 'value': 'Handicapped', 'rank': 14, 'major': 'N'}]",1995-09-23T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/8bc35c44-203e-5d91-bee4-620e7df38c7f,738,nyt://article/8bc35c44-203e-5d91-bee4-620e7df38c7f,Medicaid Moves Yet Another Heated Day Closer to a Dismantling,,,Medicaid Moves Yet Another Heated Day Closer to a Dismantling,,,,,[],,,Alzheimer
"  Shares of Athena Neurosciences Inc. surged 50 percent yesterday after the company said it had developed a test to look for a protein that indicates if a person has a greater risk of developing Alzheimer's disease. The stock closed at $13.50, up $4.50, in Nasdaq trading. Athena, based in South San Francisco, Calif., said the test was recommended only for individuals who are already showing possible symptoms of the disease. The test looks for ApoE4, a protein in the blood, whose presence increases the probability that a patient will develop the disease.",https://www.nytimes.com/1995/08/17/business/company-news-athena-neurosciences-shares-jump-on-alzheimer-s-test.html,,"Shares of Athena Neurosciences Inc. surged 50 percent yesterday after the company said it had developed a test to look for a protein that indicates if a person has a greater risk of developing Alzheimer's disease. The stock closed at $13.50, up $4.50, in Nasdaq trading. Athena, based in South San Francisco, Calif., said the test was recommended only for individuals who are already showing possible symptoms of the disease. The test looks for ApoE4, a protein in the blood, whose presence increases the probability that a patient will develop the disease.",D,3,The New York Times,[],"[{'name': 'organizations', 'value': 'Athena Neurosciences Inc', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'APOE4 (PROTEIN)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Tests and Testing', 'rank': 4, 'major': 'N'}]",1995-08-17T05:00:00+0000,article,Business/Financial Desk,Business Day,News,nyt://article/3ef0eb8d-c35d-5a29-9143-dea2ed63a186,95,nyt://article/3ef0eb8d-c35d-5a29-9143-dea2ed63a186,ATHENA NEUROSCIENCES SHARES JUMP ON ALZHEIMER'S TEST,COMPANY NEWS,,COMPANY NEWS; ATHENA NEUROSCIENCES SHARES JUMP ON ALZHEIMER'S TEST,,,,,[],,,Alzheimer
